 111  200932030    5 12 19 14   750 360     8   4AY 11.5000 18.6000 13.8851               7                        FURY
 110  200932035    8 12 19 14   750 360     8   4AY 11.5446 18.5349 13.9044               7                        FURY WAGON
 100  201165005   12 15 19 16   656 225     6   2AY 15.1000 18.6000 16.4969               7                        DODGE VAN
 100  201165005   12 15 21 17   617 225     6   2MY 14.5844 21.1489 16.9523               7                        DODGE VAN
 100  201165010   11 15 19 16   656 225     6   2AY 15.1000 18.6000 16.4969               7                        DODGE PICKUP
 100  201165010   11 15 21 17   617 225     6   2MY 14.5844 21.1489 16.9523               7                        DODGE PICKUP
 100  201191005   12 15 19 16   656 225     6   2AY 15.1000 18.6000 16.4969               7                        PLYMOUTH VAN
 100  201191005   12 15 21 17   617 225     6   2MY 14.5844 21.1489 16.9523               7                        PLYMOUTH VAN
 100  201565005   12 12 18 14   750 318     8   4AY 12.3893 17.9434 14.3943               7                        DODGE VAN
 100  201565005   12 12 19 14   750 318     8   4MY 12.0312 19.1321 14.4435               7                        DODGE VAN
 100  201565005   12 12 19 14   750 360     8   4AY 11.6204 18.7544 14.0204               7                        DODGE VAN
 100  201565010   11 12 18 14   750 318     8   4AY 12.3475 17.7240 14.2995               7                        DODGE PICKUP
 100  201565010   11 12 19 14   750 318     8   4MY 11.9599 18.8580 14.3165               7                        DODGE PICKUP
 100  201565010   11 12 19 14   750 360     8   4AY 11.7244 19.0686 14.1825               7                        DODGE PICKUP
 100  201591005   12 12 17 14   750 318     8   4AY 12.2891 17.4245 14.1682               7                        PLYMOUTH VAN
 100  201591005   12 12 18 14   750 318     8   4MY 11.8374 18.3974 14.0998               7                        PLYMOUTH VAN
 100  201591005   12 11 17 13   807 360     8   4AY 10.8999 16.7035 12.9200               7                        PLYMOUTH VAN
 100  201716005    4 22 28 24   438 105     4   2AY 21.5000 27.8000 23.9415               7                        OMNI
 100  201716005    4 24 35 28   375 105     4   2MY 24.1000 35.3000 28.1140               7                        OMNI
 100  201732005    4 22 28 24   438 105     4   2AY 21.5000 27.8000 23.9415               7                        HORIZON
 100  201732005    4 24 35 28   375 105     4   2MY 24.1000 35.3000 28.1140               7                        HORIZON
 100  208516050    5  8 11  9  1167 440     8   4AY  8.3000 11.2000  9.3946               7                        MONACO
 100  208532030    5  8 11  9  1167 440     8   4AY  8.3000 11.2000  9.3946               7                        FURY
 100  301170010   11 15 19 16   656 300     6   1MY 14.7119 18.8627 16.3288( 4.9L)        7                        PICKUP
 100  301170015   12 15 19 16   656 300     6   1MY 14.7072 18.9946 16.3699( 4.9L)        7                        VAN (ECONOLINE/CLUB WAGON)
 100  301270010   11 14 19 16   656 302     8   2MY 13.9322 19.4976 15.9855( 5.0L)        7                        PICKUP
 100  301370010   11 11 15 13   807 351     8   2AY 11.4000 15.2000 12.8451( 5.8L)        7                        PICKUP                          (M ENG)
 100  301470015   12 12 17 13   807 351     8   2AY 11.5797 16.5015 13.3748( 5.8L)        7                        VAN (ECONOLINE/CLUB WAGON)      (W ENG)
 100  303370011   13 19 26 22   478 140     4   2AY 19.4246 26.2297 21.9922( 2.3L)        7                        PINTO WAGON (PANEL)
 100  303370011   13 25 35 28   375 140     4   2MY 24.7470 34.5855 28.3800( 2.3L)        7                        PINTO WAGON (PANEL)
 100  304170011   13 17 22 19   552 171     6   2AY 16.6000 22.4000 18.7893( 2.8L)        7                        PINTO WAGON (PANEL)
 100  306019005    2 21 29 24   438 140     4   2AY 20.7000 29.4000 23.8799( 2.3L)        7                        PINTO
 100  306019005    2 25 34 29   362 140     4   2MY 25.1000 34.5000 28.6075( 2.3L)        7                        PINTO
 100  306019010    7 19 26 22   478 140     4   2AY 19.4768 26.1809 22.0134( 2.3L)        7                        PINTO WAGON
 100  306019015    2 19 26 22   478 140     4   2AY 19.4768 26.1809 22.0134( 2.3L)        7                        MUSTANG II
 100  306024005    2 21 29 24   438 140     4   2AY 20.7000 29.4000 23.8799( 2.3L)        7                        BOBCAT
 100  306024005    2 25 34 29   362 140     4   2MY 25.1000 34.5000 28.6075( 2.3L)        7                        BOBCAT
 100  306024007    7 19 26 22   478 140     4   2AY 19.4768 26.1809 22.0134( 2.3L)        7                        BOBCAT WAGON
 100  306119015    2 16 23 18   584 171     6   2AY 15.7000 22.7000 18.2297( 2.8L)        7                        MUSTANG II
 100  306119015    2 18 25 20   525 171     6   2MY 17.5000 25.1491 20.2750( 2.8L)        7                        MUSTANG II
 100  306219019    5 18 23 20   525 200     6   1AY 18.1000 23.4000 20.1542( 3.3L)        7                        FAIRMONT
 100  306224016    5 18 23 20   525 200     6   1AY 18.1000 23.4000 20.1542( 3.3L)        7                        ZEPHYR
