 001  200616060    5 13 20 15   807 318A3-1 8   4AY 13.1000 19.7000 15.4256               7                        MAGNUM
 001  200616060    5 13 20 16   807 360A3-1 8   4AY 13.3267 20.4424 15.8018               7                        MAGNUM
 001  200616070    6 13 20 15   807 318A3-1 8   4AY 13.1000 19.7000 15.4256               7                        ST. REGIS
 001  200616070    6 13 20 16   807 360A3-1 8   4AY 13.3267 20.4424 15.8018               7                        ST. REGIS
 001  200632020    5 14 21 17   750 318A3-1 8   4AY 13.8934 21.4270 16.5047               7                        VOLARE
 001  200632020    5 13 20 16   807 360A3-1 8   4AY 13.3751 20.4412 15.8389               7                        VOLARE
 001  200632025    8 14 21 17   750 318A3-1 8   4AY 13.8934 21.4270 16.5047               7                        VOLARE WAGON
 001  200632025    8 13 20 16   807 360A3-1 8   4AY 13.3267 20.4424 15.8018               7                        VOLARE WAGON
 001  202065025   12 13 18 15   807 318A3-1 8   4AY 12.6043 18.1988 14.6278               7                        B100
 001  202065030   11 13 18 15   807 318A3-1 8   4AY 12.6753 18.2327 14.6902               7                        D100
 001  202091025   12 12 18 14   875 318A3-1 8   4AY 12.0000 17.9000 14.0899               7                        PB100
 001  203013005    5 15 20 16   700 225A3-1 6   1AY 14.6000 19.6000 16.4934               7                        LEBARON                         (3WAY CAT)
 001  203013010    8 15 20 16   700 225A3-1 6   1AY 14.6000 19.6000 16.4934               7                        LEBARON WAGON                   (3WAY CAT)
 001  203016030    5 16 21 18   656 225A3-1 6   1AY 16.3000 20.7000 18.0240               7                        ASPEN                           (3WAY CAT)
 001  203016035    8 15 20 16   700 225A3-1 6   1AY 14.6000 19.6000 16.4934               7                        ASPEN WAGON                     (3WAY CAT)
 001  203016040    5 15 20 16   700 225A3-1 6   1AY 14.6000 19.6000 16.4934               7                        DIPLOMAT                        (3WAY CAT)
 001  203016045    8 15 20 16   700 225A3-1 6   1AY 14.6000 19.6000 16.4934               7                        DIPLOMAT WAGON                  (3WAY CAT)
 001  203032020    5 16 21 18   656 225A3-1 6   1AY 16.3000 20.7000 18.0240               7                        VOLARE                          (3WAY CAT)
 001  203032025    8 15 20 16   700 225A3-1 6   1AY 14.6000 19.6000 16.4934               7                        VOLARE WAGON                    (3WAY CAT)
 100  316019003    3 26 40 31   404  98M4-2 4   2MY 25.9000 39.5000 30.6486( 1.6L)        7                        FIESTA
 100  326019015    3 18 26 21   584 140A3-1 4   2AY 18.2647 26.1656 21.1368( 2.3L)        7                        MUSTANG
 100  326019019    5 18 26 21   584 140A3-1 4   2AY 18.2647 26.1656 21.1368( 2.3L)        7                        FAIRMONT
 100  326024010    3 18 26 21   584 140A3-1 4   2AY 18.2647 26.1656 21.1368( 2.3L)        7                        CAPRI
 100  326024016    5 18 26 21   584 140A3-1 4   2AY 18.2647 26.1656 21.1368( 2.3L)        7                        ZEPHYR
 100  326119015    3 17 27 21   617 140M4-1 4   2MY 17.4000 26.9000 20.6877( 2.3L)        7                        MUSTANG
 100  326119019    5 17 27 21   617 140M4-1 4   2MY 17.4000 26.9000 20.6877( 2.3L)        7                        FAIRMONT
 100  326119021    8 17 27 21   617 140M4-1 4   2MY 17.4000 26.9000 20.6877( 2.3L)        7                        FAIRMONT WAGON
 100  326124010    3 17 27 21   617 140M4-1 4   2MY 17.4000 26.9000 20.6877( 2.3L)        7                        CAPRI
 100  326124016    5 17 27 21   617 140M4-1 4   2MY 17.4000 26.9000 20.6877( 2.3L)        7                        ZEPHYR
 100  326124017    8 17 27 21   617 140M4-1 4   2MY 17.4000 26.9000 20.6877( 2.3L)        7                        ZEPHYR WAGON
 100  327019005    2 20 27 23   525 140A3-1 4   2AY 20.0776 27.0188 22.7021( 2.3L)        7                        PINTO                           (3WAY CAT)
 100  327019005    2 22 32 26   478 140M4-1 4   2MY 22.5000 32.2000 26.0284( 2.3L)        7                        PINTO                           (3WAY CAT)
 100  327019010    7 20 27 23   525 140A3-1 4   2AY 19.9000 26.9000 22.5394( 2.3L)        7                        PINTO WAGON                     (3WAY CAT)
 100  327019010    7 20 29 23   525 140M4-1 4   2MY 19.8000 29.2000 23.1542( 2.3L)        7                        PINTO WAGON                     (3WAY CAT)
 100  327024005    2 20 27 23   525 140A3-1 4   2AY 19.9000 26.9000 22.5394( 2.3L)        7                        BOBCAT                          (3WAY CAT)
 100  327024005    2 22 31 25   478 140M4-1 4   2MY 21.5218 31.1339 24.9943( 2.3L)        7                        BOBCAT                          (3WAY CAT)
 100  327024007    7 20 27 23   525 140A3-1 4   2AY 19.9000 26.9000 22.5394( 2.3L)        7                        BOBCAT WAGON                    (3WAY CAT)
 100  327024007    7 20 29 23   525 140M4-1 4   2MY 19.8000 29.2000 23.1542( 2.3L)        7                        BOBCAT WAGON                    (3WAY CAT)
 100  329019015    3 17 28 21   617 140M4-1 4   2MY 17.2125 27.6726 20.7404( 2.3L)        7                        MUSTANG                         (3WAY CAT)(TURBO)
 100  329024010    3 17 28 21   617 140M4-1 4   2MY 17.2125 27.6726 20.7404( 2.3L)        7                        CAPRI                           (3WAY CAT)(TURBO)
 100  336019015    3 16 22 18   656 171A3-1 6   2AY 15.8000 21.6000 17.9716( 2.8L)        7                        MUSTANG
 100  336024010    3 16 22 18   656 171A3-1 6   2AY 15.8000 21.6000 17.9716( 2.8L)        7                        CAPRI
 100  346019019    5 16 21 18   656 200A3-1 6   1AY 16.3000 20.7000 18.0240( 3.3L)        7                        FAIRMONT
 100  346024016    5 16 21 18   656 200A3-1 6   1AY 16.3000 20.7000 18.0240( 3.3L)        7                        ZEPHYR
 100  346119021    8 16 20 17   656 200A3-1 6   1AY 15.5000 20.0000 17.2462( 3.3L)        7                        FAIRMONT WAGON
 100  346124017    8 16 20 17   656 200A3-1 6   1AY 15.5000 20.0000 17.2462( 3.3L)        7                        ZEPHYR WAGON
 100  356019025    4 16 21 18   656 250A3-1 6   1AY 16.0000 21.3000 18.0174( 4.1L)        7                        GRANADA
 100  356024020    4 16 21 18   656 250A3-1 6   1AY 16.0000 21.3000 18.0174( 4.1L)        7                        MONARCH
 100  366019015    3 15 20 17   700 302A3-1 8   2AY 15.0592 19.8065 16.8798( 5.0L)        7                        MUSTANG
 100  366019019    5 15 20 17   700 302A3-1 8   2AY 15.0592 19.8065 16.8798( 5.0L)        7                        FAIRMONT
 100  366019021    8 15 20 17   700 302A3-1 8   2AY 15.0592 19.8065 16.8798( 5.0L)        7                        FAIRMONT WAGON
 100  366019025    4 14 19 16   750 302A3-1 8   2AY 14.3251 19.2805 16.1986( 5.0L)        7                        GRANADA
 100  366019045    6 14 19 16   750 302A3-1 8   2AY 13.6593 18.7817 15.5703( 5.0L)        7                        LTD
 100  366024010    3 15 20 17   700 302A3-1 8   2AY 15.0592 19.8065 16.8798( 5.0L)        7                        CAPRI
 100  366024016    5 15 20 17   700 302A3-1 8   2AY 15.0592 19.8065 16.8798( 5.0L)        7                        ZEPHYR
 100  366024017    8 15 20 17   700 302A3-1 8   2AY 15.0592 19.8065 16.8798( 5.0L)        7                        ZEPHYR WAGON
 100  366024020    4 14 19 16   750 302A3-1 8   2AY 14.0828 19.1014 15.9711( 5.0L)        7                        MONARCH
 100  366024022    4 14 19 16   750 302A3-1 8   2AY 13.6593 18.7817 15.5703( 5.0L)        7                        VERSAILLES
 100  366024040    6 14 19 16   750 302A3-1 8   2AY 13.6593 18.7817 15.5703( 5.0L)        7                        MARQUIS
 100  376019045    6 14 20 16   750 351A3-1 8   2AY 13.5000 19.5499 15.6841( 5.8L)        7                        LTD                             (W ENG)   (3WAY CAT)
 100  376019050    9 13 18 15   807 351A3-1 8   2AY 13.4000 18.5000 15.2977( 5.8L)        7                        LTD WAGON                       (W ENG)   (3WAY CAT)
 100  376024040    6 13 19 16   807 351A3-1 8   2AY 13.4769 19.2985 15.5937( 5.8L)        7                        MARQUIS                         (W ENG)   (3WAY CAT)
 100  376024045    9 13 18 15   807 351A3-1 8   2AY 13.4000 18.5000 15.2977( 5.8L)        7                        MARQUIS WAGON                   (W ENG)   (3WAY CAT)
 100  386019030    5 11 17 13   954 351A3-1 8   2AY 11.0000 17.0000 13.0769( 5.8L)        7                        LTD II                          (M ENG)
 100  386019055    5 11 17 13   954 351A3-1 8   2AY 11.0000 17.0000 13.0769( 5.8L)        7                        THUNDERBIRD                     (M ENG)
 100  386024025    5 11 17 13   954 351A3-1 8   2AY 11.0000 17.0000 13.0769( 5.8L)        7                        COUGAR                          (M ENG)
 100  386970025   11 11 17 13   954 351A3-1 8   2AY 11.0000 17.0000 13.0769( 5.8L)        7                        RANCHERO                        (M ENG)
 100  388024050    6 10 16 12  1050 400A3-1 8   2AY 10.5000 15.5000 12.2830( 6.6L)        7                        LINCOLN CONTINENTAL
 100  388024055    5 10 16 12  1050 400A3-1 8   2AY 10.5000 15.5000 12.2830( 6.6L)        7                        CONTINENTAL MARK V
 100  392170011   13 20 27 23   525 140A3-1 4   2AY 19.9000 26.9000 22.5394( 2.3L)        7                        PINTO PANEL DELIVERY            (3WAY CAT)
 100  396170030   11 13 17 14   807 302A3-1 8   2AY 12.8000 17.1000 14.4332( 5.0L)        7                        F-100
 100  396170035   12 12 17 14   875 302A3-1 8   2AY 11.8000 16.7000 13.5950( 5.0L)        7                        E-100
 100  398170030   11 11 15 12   954 351A3-1 8   2AY 11.1000 14.6000 12.4422( 5.8L)        7                        F-100                           (M ENG)
 100  411012005    3 25 29 27   420  98A3-1 4   2AY 24.9202 29.1354 26.6555( 1.6L)        7                        CHEVETTE
 100  411012005    3 27 35 30   388  98M4-1 4   2MY 26.6137 35.4077 29.9624( 1.6L)        7                        CHEVETTE
 100  413012020    4 15 20 17   700 250A3-1 6   1AY 15.3938 19.5037 17.0065( 4.1L)        7                        NOVA
 100  413012025    3 15 19 16   700 250A3-1 6   1AY 14.8052 18.6988 16.3359( 4.1L)        7                        CAMARO
 100  413012040    6 15 19 16   700 250A3-1 6   1AY 14.8052 18.6988 16.3359( 4.1L)        7                        IMPALA/CAPRICE
 100  413355060   11 15 20 17   700 250A3-1 6   2AY 15.1060 20.1641 17.0282( 4.1L)        7                        C10
 100  413355065   12 15 20 17   700 250A3-1 6   2AY 15.2001 20.3267 17.1461( 4.1L)        7                        G10
