 100  172551510   18 19 27 22  1302 258M4-1 6   2MY 18.8675 26.5478 21.6914               6                        EAGLE: KAMMBACK,SX/4 4WD        (FFS)
 100  172551510   18 20 31 24  1238 258M5-2 6   2MY 20.5000 31.2000 24.2410               6                        EAGLE: KAMMBACK,SX/4 4WD        (FFS)
 100  172585010   18 18 25 21  1376 258A3-1 6   2LY 18.1312 24.8313 20.6370               6                        CHEROKEE/WAGONEER 4WD           (FFS)
 100  172585015   13 18 25 21  1376 258A3-1 6   2LY 18.1312 24.8313 20.6370               6                        J10 PICKUP 4WD                  (FFS)
 100  172785010   18 18 25 20  1376 258M4-1 6   2MY 17.8000 25.0000 20.4504               6                        CHEROKEE/WAGONEER 4WD           (FFS)
 100  172785010   18 17 25 20  1455 258M5-2 6   2MY 16.9000 25.3885 19.8930               6                        CHEROKEE/WAGONEER 4WD           (FFS)
 100  172785015   13 18 25 20  1376 258M4-1 6   2MY 17.8000 25.0000 20.4504               6                        J10 PICKUP 4WD                  (FFS)
 100  172785015   13 17 25 20  1455 258M5-2 6   2MY 16.9000 25.3885 19.8930               6                        J10 PICKUP 4WD                  (FFS)
 100  174085010   18 13 18 15  1903 360A3-1 8   2LY 12.6479 18.0018 14.6022               6                        CHEROKEE/WAGONEER 4WD
 100  174085010   18 13 19 15  1903 360M4-1 8   2MY 13.2998 19.0139 15.3797               6                        CHEROKEE/WAGONEER 4WD
 100  174085015   13 13 18 15  1903 360A3-1 8   2LY 12.6479 18.0018 14.6022               6                        J10 PICKUP 4WD
 100  174085015   13 13 19 15  1903 360M4-1 8   2MY 13.3765 19.1732 15.4829               6                        J10 PICKUP 4WD
 100  174085020   13 13 18 15  1903 360A3-1 8   2LY 12.6479 18.0018 14.6022               6                        J20 PICKUP 4WD
 100  174085020   13 13 15 14  1903 360C4-1 8   2CY 12.8000 15.4000 13.8524               6                        J20 PICKUP 4WD
 001  212016005    4 26 38 31   953 105A3-1 4   2AY 26.2000 38.2000 30.5134( 1.7L)        6                        OMNI                            (FFS)
 001  212016005    4 30 47 36   824 105M4-2 4   2MY 30.1000 46.7000 35.8315( 1.7L)        6                        OMNI                            (FFS)
 001  212016007    3 26 38 31   953 105A3-1 4   2AY 26.2000 38.2000 30.5134( 1.7L)        6                        024                             (FFS)
 001  212016007    3 30 47 36   824 105M4-2 4   2MY 30.1000 46.7000 35.8315( 1.7L)        6                        024                             (FFS)
 001  212032005    4 26 38 31   953 105A3-1 4   2AY 26.2000 38.2000 30.5134( 1.7L)        6                        HORIZON                         (FFS)
 001  212032005    4 30 47 36   824 105M4-2 4   2MY 30.1000 46.7000 35.8315( 1.7L)        6                        HORIZON                         (FFS)
 001  212032007    3 26 38 31   953 105A3-1 4   2AY 26.2000 38.2000 30.5134( 1.7L)        6                        TC3/TURISMO                     (FFS)
 001  212032007    3 30 47 36   824 105M4-2 4   2MY 30.1000 46.7000 35.8315( 1.7L)        6                        TC3/TURISMO                     (FFS)
 001  212116005    4 35 52 41   708 105M4-2 4   2MY 35.0000 51.8000 40.9810( 1.7L)        6                        OMNI                            (CAL)(FFS)
 001  212116007    3 34 51 40   728 105M4-2 4   2MY 33.9000 51.2000 39.9788( 1.7L)        6                        024                             (CAL)(FFS)
 001  212132005    4 35 52 41   708 105M4-2 4   2MY 35.0000 51.8000 40.9810( 1.7L)        6                        HORIZON                         (CAL)(FFS)
 001  212132007    3 34 51 40   728 105M4-2 4   2MY 33.9000 51.2000 39.9788( 1.7L)        6                        TC3/TURISMO                     (CAL)(FFS)
 001  213013030    5 25 36 29   990 135A3-1 4   2AY 25.0929 35.9677 29.0447( 2.2L)        6                        LEBARON                         (FFS)
 001  213013030    5 26 40 31   953 135M4-2 4   2MY 25.5042 40.1717 30.5185( 2.2L)        6                        LEBARON                         (FFS)
 001  213016005    4 25 37 29   990 135A3-1 4   2AY 24.9329 36.7318 29.1459( 2.2L)        6                        OMNI                            (FFS)
 001  213016005    4 27 41 32   916 135M4-2 4   2MY 26.8000 40.8000 31.6939( 2.2L)        6                        OMNI                            (FFS)
 001  213016007    3 25 36 29   990 135A3-1 4   2AY 25.0217 36.3029 29.0895( 2.2L)        6                        024                             (FFS)
 001  213016007    3 26 41 31   953 135M4-2 4   2MY 26.1769 40.5032 31.1322( 2.2L)        6                        024                             (FFS)
 001  213016050    5 25 36 29   990 135A3-1 4   2AY 25.0929 35.9677 29.0447( 2.2L)        6                        ARIES                           (FFS)
 001  213016050    5 26 41 31   953 135M4-2 4   2MY 26.4729 40.6454 31.3998( 2.2L)        6                        ARIES                           (FFS)
 001  213016055    8 25 36 29   990 135A3-1 4   2AY 25.0929 35.9677 29.0447( 2.2L)        6                        ARIES WAGON                     (FFS)
 001  213016055    8 26 40 31   953 135M4-2 4   2MY 25.5042 40.1717 30.5185( 2.2L)        6                        ARIES WAGON                     (FFS)
 001  213016080    5 25 36 29   990 135A3-1 4   2AY 25.0929 35.9677 29.0447( 2.2L)        6                        400                             (FFS)
 001  213016080    5 26 40 31   953 135M4-2 4   2MY 25.5042 40.1717 30.5185( 2.2L)        6                        400                             (FFS)
 001  213032005    4 25 37 29   990 135A3-1 4   2AY 24.9369 36.7123 29.1434( 2.2L)        6                        HORIZON                         (FFS)
 001  213032005    4 27 41 32   916 135M4-2 4   2MY 26.8000 40.8000 31.6939( 2.2L)        6                        HORIZON                         (FFS)
 001  213032007    3 25 37 29   990 135A3-1 4   2AY 24.9614 36.5926 29.1277( 2.2L)        6                        TC3/TURISMO                     (FFS)
 001  213032007    3 26 41 31   953 135M4-2 4   2MY 26.1768 40.5031 31.1320( 2.2L)        6                        TC3/TURISMO                     (FFS)
 001  213032060    5 25 36 29   990 135A3-1 4   2AY 25.0929 35.9677 29.0447( 2.2L)        6                        RELIANT                         (FFS)
 001  213032060    5 26 41 31   953 135M4-2 4   2MY 26.4631 40.6407 31.3909( 2.2L)        6                        RELIANT                         (FFS)
 001  213032065    8 25 36 29   990 135A3-1 4   2AY 25.0929 35.9677 29.0447( 2.2L)        6                        RELIANT WAGON                   (FFS)
 001  213032065    8 26 40 31   953 135M4-2 4   2MY 25.5042 40.1717 30.5185( 2.2L)        6                        RELIANT WAGON                   (FFS)
2001  213113035    8 22 32 26  1126 135A3-1 4   2AY 22.1000 32.1000 25.7033( 2.2L)        6                        TOWN AND COUNTRY WAGON          (FFS)
2001  213316080    5 25 39 30   990 135M5-2 4   2MY 25.4000 39.0000 30.1277( 2.2L)        6                        400                             (FFS)
 001  214013030    5 23 31 26  1077 156A3-1 4   2AY 23.3798 30.5560 26.1427( 2.6L)        6                        LEBARON
 001  214016050    5 23 30 26  1077 156A3-1 4   2AY 23.0165 30.1262 25.7512( 2.6L)        6                        ARIES
 001  214016055    8 23 31 26  1077 156A3-1 4   2AY 23.3798 30.5560 26.1427( 2.6L)        6                        ARIES WAGON
 001  214016080    5 23 31 26  1077 156A3-1 4   2AY 23.3798 30.5560 26.1427( 2.6L)        6                        400
 001  214032060    5 23 30 26  1077 156A3-1 4   2AY 23.0165 30.1262 25.7512( 2.6L)        6                        RELIANT
 001  214032065    8 23 31 26  1077 156A3-1 4   2AY 23.3798 30.5560 26.1427( 2.6L)        6                        RELIANT WAGON
 001  214113035    8 23 31 26  1077 156A3-1 4   2AY 23.2601 31.4997 26.3634( 2.6L)        6                        TOWN AND COUNTRY WAGON
 001  215013015    5 18 22 19  1376 225A3-1 6   1AY 17.5240 21.5817 19.1437               6                        CORDOBA
 001  215013020    5 18 22 19  1376 225A3-1 6   1AY 17.5000 21.5000 19.0990               6                        NEW YORKER
 001  215016040    5 18 23 20  1376 225A3-1 6   1AY 17.8707 22.8052 19.7985               6                        DIPLOMAT
 001  215016075    5 18 23 20  1376 225A3-1 6   1AY 17.9262 23.0093 19.9050               6                        MIRADA
