 001  220013005    5 17 25 20   794 225A3-1 6   1LY 17.3063 24.9427 20.0716               7                        LEBARON
 001  220013010    8 16 23 19   844 225A3-1 6   1LY 16.4446 22.6862 18.7683               7                        LEBARON WAGON
 001  220013015    5 17 25 20   794 225A3-1 6   1LY 17.4609 25.3689 20.3098               7                        CORDOBA/300
 001  220013020    6 16 23 19   844 225A3-1 6   1LY 16.4446 22.6862 18.7683               7                        NEWPORT/NEW YORKER
 001  220016030    5 17 25 20   794 225A3-1 6   1LY 17.4609 25.3689 20.3098               7                        ASPEN
 001  220016035    8 16 23 19   844 225A3-1 6   1LY 16.4446 22.6862 18.7683               7                        ASPEN WAGON
 001  220016040    5 17 25 20   794 225A3-1 6   1LY 17.3164 24.9703 20.0871               7                        DIPLOMAT
 001  220016045    8 16 23 19   844 225A3-1 6   1LY 16.4446 22.6862 18.7683               7                        DIPLOMAT WAGON
 001  220016070    6 16 23 19   844 225A3-1 6   1LY 16.4446 22.6862 18.7683               7                        ST. REGIS
 001  220016075    5 17 25 20   794 225A3-1 6   1LY 17.4609 25.3689 20.3098               7                        MIRADA
 001  220032020    5 17 25 20   794 225A3-1 6   1LY 17.4609 25.3689 20.3098               7                        VOLARE
 001  220032025    8 16 23 19   844 225A3-1 6   1LY 16.4446 22.6862 18.7683               7                        VOLARE WAGON
 001  220032030    6 16 23 19   844 225A3-1 6   1LY 16.4446 22.6862 18.7683               7                        GRAN FURY
 001  220116030    5 17 23 19   794 225M3-1 6   1MY 17.2000 22.7000 19.3048               7                        ASPEN
 001  220116030    5 17 27 20   794 225M4-2 6   1MY 16.9000 26.6000 20.2177               7                        ASPEN
 001  220116035    8 16 21 18   844 225M3-1 6   1MY 15.8000 21.3000 17.8773               7                        ASPEN WAGON
 001  220116035    8 16 24 19   844 225M4-2 6   1MY 16.3000 24.0000 19.0504               7                        ASPEN WAGON
 001  220132020    5 17 23 19   794 225M3-1 6   1MY 17.2000 22.7000 19.3048               7                        VOLARE
 001  220132020    5 17 27 20   794 225M4-2 6   1MY 16.9000 26.6000 20.2177               7                        VOLARE
