class,cls
two seaters,1
minicompact cars,2
subcompact cars,3
compact cars,4
midsize cars,5
large cars,6
small station wagons,7
midsize station wagons,8
large station wagon,9
small pickup trucks 2wd,10
small pickup trucks 4wd,11
standard pickup trucks 2wd,12
standard pickup trucks 4wd,13
"vans, cargo type",14
"vans, passenger type",15
special purpose vehicles 2wd,17
special purpose vehicles 4wd,18
special purpose vechicles cab chassis,19
