CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,INDEX NUMB,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS,5C CODE
MINICOMPACT CARS,PORSCHE,CARRERA 4 COUPE,3.6,6,Manual(M6),4,300,17,25,20,21.2368,34.2736,25.6226,P,,,,70,5,,,,,2250, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 S CABRIOLET,3.8,6,Auto(L5),4,400,17,23,19,21.2,31.8,24.9412,P,,,,68,5,,,,,2367, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 S CABRIOLET,3.8,6,Manual(M6),4,400,16,24,19,20.3,33.1,24.5768,P,,,,68,5,,,,,2367, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 S COUPE,3.8,6,Auto(L5),4,400,17,23,19,21.5,32.3,25.3079,P,,,,70,5,,,,,2367, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 S COUPE,3.8,6,Manual(M6),4,400,16,24,19,20.3,33.1,24.5768,P,,,,70,5,,,,,2367, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 S TARGA,3.8,6,Auto(L5),4,400,17,23,19,21.2,31.8,24.9412,P,,,,70,5,,,,,2367, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 S TARGA,3.8,6,Manual(M6),4,400,16,24,19,20.3,33.1,24.5768,P,,,,70,5,,,,,2367, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 TARGA,3.6,6,Auto(L5),4,300,17,24,19,21,32.8,25.0564,P,,,,70,5,,,,,2367, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 TARGA,3.6,6,Manual(M6),4,300,17,25,20,21.2368,34.2736,25.6226,P,,,,70,5,,,,,2250, ,,4,2,DERIVED
MINICOMPACT CARS,VOLKSWAGEN,NEW BEETLE CONVERTIBLE,2.5,5,Manual(M5),F,17,20,28,23,25.2238,39.1651,30.0349,R,,,,78,5,,,,,1827, ,,4,2,DERIVED
MINICOMPACT CARS,VOLKSWAGEN,NEW BEETLE CONVERTIBLE,2.5,5,Auto(S6),F,17,20,28,23,24.8313,39.7341,29.8732,R,,,,78,5,,,,,1827, ,3MODE CLKUP ,4,2,DERIVED
SUBCOMPACT CARS,AUDI,A4 CABRIOLET,2,4,Auto(AV),F,12,21,30,24,26.7464,41.4106,31.8164,P,,T,,79,10,,,,,1876, ,3MODE ,4,3,DERIVED
SUBCOMPACT CARS,AUDI,A4 CABRIOLET QUATTRO,2,4,Auto(S6),4,12,19,27,22,24.2348,38.3379,29.0425,P,,T,,79,10,,,,,2048, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,AUDI,A4 CABRIOLET QUATTRO,3.1,6,Auto(S6),4,22,17,25,20,21.037,34.2854,25.465,P,,,,79,10,,,,,2250, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,AUDI,A5 QUATTRO,3.2,6,Manual(M6),4,28,16,26,20,20.5,35.8,25.3813,P,,,,,,84,12,,,2250, ,,4,3,DERIVED
SUBCOMPACT CARS,AUDI,A5 QUATTRO,3.2,6,Manual(M6),4,27,16,27,20,16.5,26.8,19.9504,P,G,,,,,84,12,,,2250, ,,4,3,5-CYCLE
SUBCOMPACT CARS,AUDI,A5 QUATTRO,3.2,6,Auto(S6),4,28,18,26,21,22.5,36.5,27.1937,P,,,,,,84,12,,,2142, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,AUDI,A5 QUATTRO,3.2,6,Auto(S6),4,27,18,27,21,17.5,26.7,20.7114,P,G,,,,,84,12,,,2142, ,3MODE CLKUP ,4,3,5-CYCLE
SUBCOMPACT CARS,AUDI,RS4 CABRIOLET,4.2,8,Manual(M6),4,19,12,19,14,14.8,26,18.3588,P,G,,,79,10,,,,,3213, ,,4,3,DERIVED
SUBCOMPACT CARS,AUDI,S4 CABRIOLET,4.2,8,Manual(M6),4,18,13,19,15,16.1,26.8,19.6261,P,G,,,79,10,,,,,3002, ,,5,3,DERIVED
SUBCOMPACT CARS,AUDI,S4 CABRIOLET,4.2,8,Auto(S6),4,18,14,21,16,16.8445,28.9659,20.7525,P,G,,,79,10,,,,,2812, ,3MODE CLKUP ,5,3,DERIVED
SUBCOMPACT CARS,AUDI,S5,4.2,8,Manual(M6),4,23,14,21,16,17.3,29.3,21.2088,P,G,,,,,84,12,,,2812, ,,4,3,DERIVED
SUBCOMPACT CARS,AUDI,TT COUPE QUATTRO,3.2,6,Manual(M6),4,8,17,24,19,20.7455,34.0127,25.1622,P,,,,,,,,74,13,2367, ,,4,3,DERIVED
SUBCOMPACT CARS,AUDI,TT COUPE QUATTRO,3.2,6,Auto(S6),4,8,18,24,20,22.3615,33.4428,26.2801,P,,,,,,,,74,13,2250, ,3MODE ,4,3,DERIVED
SUBCOMPACT CARS,BENTLEY,CONTINENTAL GTC,6,12,Auto(S6),4,26,10,17,12,12.4969,23.2298,15.7772,P,G,T,,86,7,,,,,3748, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,328CI,3,6,Manual(M6),R,30,18,28,21,22.4921,38.9302,27.7684,P,,,,,,89,11,,,2142, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,328CI,3,6,Auto(S6),R,30,19,28,22,23.2871,39.6624,28.6008,P,,,,,,89,11,,,2048, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,328CI CONVERTIBLE,3,6,Manual(M6),R,30,17,27,20,21.2906,37.1716,26.3581,P,,,,,,84,9,,,2250, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,328CI CONVERTIBLE,3,6,Auto(S6),R,30,18,27,21,22.5238,38.1884,27.6225,P,,,,,,84,9,,,2142, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,328CXI,3,6,Manual(M6),4,30,17,25,20,20.854,35.2937,25.5598,P,,,,,,89,11,,,2250, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,328CXI,3,6,Auto(S6),4,30,17,25,20,21.7672,35.2164,26.2843,P,,,,,,89,11,,,2250, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,335CI,3,6,Manual(M6),R,35,17,26,20,20.931,36.1416,25.8212,P,,T,,,,89,11,,,2250, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,335CI,3,6,Auto(S6),R,35,17,26,20,21.7144,36.3822,26.527,P,,T,,,,89,11,,,2250, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,335CI CONVERTIBLE,3,6,Manual(M6),R,35,17,26,20,20.931,36.1416,25.8212,P,,T,,,,84,9,,,2250, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,335CI CONVERTIBLE,3,6,Auto(S6),R,35,17,26,20,21.7144,36.3822,26.527,P,,T,,,,84,9,,,2250, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,335CXI,3,6,Manual(M6),4,35,16,25,19,20.5496,34.2236,25.0542,P,,T,,,,89,11,,,2367, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,335CXI,3,6,Auto(S6),4,35,17,25,20,21.0379,34.606,25.5449,P,,T,,,,89,11,,,2250, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,650CI,4.8,8,Manual(M6),R,48,15,22,18,18.714,30.6951,22.7015,P,,,,,,82,13,,,2502, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,650CI,4.8,8,Auto(S6),R,48,15,23,18,19.0711,31.466,23.18,P,,,,,,82,13,,,2502, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,650CI CONVERTIBLE,4.8,8,Manual(M6),R,48,14,21,16,17.4,28.8,21.1711,P,G,,,,,82,11,,,2812, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,650CI CONVERTIBLE,4.8,8,Auto(S6),R,48,15,23,18,18.9,31.9,23.1443,P,,,,,,82,11,,,2502, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,M6,5,10,Manual(M6),R,51,11,17,13,13.1261,23.2779,16.331,P,G,,,,,82,13,,,3460, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,M6,5,10,Auto(S7),R,50,11,17,13,13.0847,23.6701,16.3813,P,G,,,,,82,13,,,3460,SMG TRANS,6MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,BMW,M6 CONVERTIBLE,5,10,Manual(M6),R,51,11,17,13,12.9,23.7,16.2277,P,G,,,,,82,11,,,3460, ,,4,3,DERIVED
SUBCOMPACT CARS,BMW,M6 CONVERTIBLE,5,10,Auto(S7),R,50,11,17,13,12.9504,24.0505,16.3451,P,G,,,,,82,11,,,3460,SMG TRANS,6MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,CHEVROLET,AVEO 5,1.6,4,Auto(A4),F,2,23,32,26,28.8787,44.3929,34.2678,R,,,,,,91,7,,,1617, ,EMS ,,3,DERIVED
SUBCOMPACT CARS,CHEVROLET,AVEO 5,1.6,4,Manual(M5),F,2,24,34,27,30.0861,47.687,36.0784,R,,,,,,91,7,,,1554, ,EMS ,,3,DERIVED
SUBCOMPACT CARS,CHEVROLET,COBALT,2.4,4,Manual(M5),F,60,22,32,26,28.2,44.8,33.843,P,,,,83,14,86,14,,,1732, ,,4,3,DERIVED
SUBCOMPACT CARS,CHEVROLET,COBALT,2.2,4,Auto(L4),F,57,22,31,26,28.5,43.4,33.7076,R,,,,83,14,86,14,,,1617, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,CHEVROLET,COBALT,2.2,4,Manual(M5),F,58,24,33,27,30.4,46.3,35.9566,R,,,,83,14,86,14,,,1554, ,SIL ,4,3,DERIVED
SUBCOMPACT CARS,CHEVROLET,COBALT,2.4,4,Auto(L4),F,59,22,31,25,27.9,43.1,33.163,P,,,,83,14,86,14,,,1800, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,2.7,6,Auto(L4),F,860,13,19,15,15.9,25.8,19.2186,E,,,,,,88,11,,,2601,E85 250,,4,3,DERIVED
SUBCOMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,3.5,6,Auto(L6),F,864,16,26,19,20.2,35.9,25.1493,R,,,,,,88,11,,,2209, ,CMODE ,4,3,DERIVED
SUBCOMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,2.7,6,Auto(L4),F,959,18,26,21,22.8,35.6,27.2011,R,,,,,,88,11,,,1999, ,,4,3,DERIVED
SUBCOMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,2.7,6,Auto(L4),F,859,18,26,21,22.8,35.6,27.2011,R,,,,,,88,11,,,1999,GAS 350,,4,3,DERIVED
SUBCOMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,2.4,4,Auto(L4),F,855,20,29,23,25.3,40.1,30.3388,R,,,,,,88,11,,,1827, ,CMODE ,4,3,DERIVED
SUBCOMPACT CARS,FORD,MUSTANG,4,6,Auto(L5),R,100,16,24,19,20.4474,33.0668,24.687,R,,,,85,13,,,,,2209, ,CLKUP ,2,3,DERIVED
SUBCOMPACT CARS,FORD,MUSTANG,4,6,Manual(M5),R,101,17,26,20,21.3981,35.8438,26.1385,R,,,,85,13,,,,,2100, ,,2,3,DERIVED
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Auto(L5),R,104,15,22,18,19.0756,30.0929,22.8382,R,,,,85,13,,,,,2335, ,CLKUP ,3,3,DERIVED
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,106,15,23,18,19,32,23.2505,R,,,,85,13,,,,,2335, ,,3,3,DERIVED
SUBCOMPACT CARS,FORD,MUSTANG,5.4,8,Manual(M6),R,108,14,20,16,16.9089,27.3699,20.4212,P,G,,S,85,13,,,,,2812, ,SIL ,3,3,DERIVED
SUBCOMPACT CARS,HONDA,CIVIC,1.8,4,Auto(L5),F,4,25,36,29,32.8206,50.9711,39.0834,R,,,,84,12,91,12,,,1449, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,HONDA,CIVIC,1.8,4,Manual(M5),F,4,26,34,29,33.7717,48.2789,39.0523,R,,,,84,12,91,12,,,1449, ,,4,3,DERIVED
SUBCOMPACT CARS,HONDA,CIVIC,2,4,Manual(M6),F,5,21,29,24,25.6,40.5,30.6791,P,,,,84,12,91,12,,,1876, ,,4,3,5-CYCLE
SUBCOMPACT CARS,HONDA,CIVIC,1.8,4,Auto(L5),F,3,24,36,28,31,50.5,37.5195,C,,,,,,91,6,,,884,RNG=170,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Auto(L4),F,18,20,27,22,24.7378,38.1832,29.3958,R,,,,81,15,,,,,1911, ,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Manual(M5),F,18,20,28,23,25.7,39.2,30.4133,R,,,,81,15,,,,,1827, ,,4,3,DERIVED
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Auto(L4),F,19,17,24,20,21.2358,33.2499,25.3591,R,,,,81,15,,,,,2100, ,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Manual(M5),F,19,17,24,20,21.5,34.1,25.7879,R,,,,81,15,,,,,2100, ,,4,3,DERIVED
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Manual(M6),F,19,16,24,19,20.5,33.7,24.8865,R,,,,81,15,,,,,2209, ,,4,3,DERIVED
SUBCOMPACT CARS,INFINITI,G37 COUPE,3.7,6,Manual(M6),R,51,17,26,20,21.7,35.7,26.35,P,,,,85,7,,,,,2250, ,,4,3,DERIVED
SUBCOMPACT CARS,INFINITI,G37 COUPE,3.7,6,Auto(S5),R,51,18,24,20,22.0771,34.1256,26.2473,P,,,,85,7,,,,,2250, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,LEXUS,IS 250,2.5,6,Manual(M6),R,11,18,26,21,22.8997,36.8,27.5892,P,,,,,,88,11,,,2142, ,,4,3,DERIVED
SUBCOMPACT CARS,LEXUS,IS 250,2.5,6,Auto(S6),R,11,21,29,24,26.7626,41.1041,31.7472,P,,,,,,88,11,,,1876, ,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,LEXUS,IS 250 AWD,2.5,6,Auto(S6),4,11,20,26,22,24.5898,36.2901,28.7628,P,,,,,,88,11,,,2048, ,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,LEXUS,IS 350,3.5,6,Auto(S6),R,12,18,25,20,22.4334,34.3402,26.5808,P,,,,,,88,11,,,2250, ,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,MASERATI,MASERATI GRANTURISMO,4.2,8,Auto(A6),R,1,13,19,15,15.6486,26.9455,19.2874,P,G,,,86,6,,,,,3002, ,3MODE CLKUP FW,4,3,DERIVED
SUBCOMPACT CARS,MAZDA,MAZDA RX-8,1.3,2,Manual(M6),R,9,16,22,18,20.4,30.2,23.8883,P,,,,,,89,8,,,2502, ,,0,3,DERIVED
SUBCOMPACT CARS,MAZDA,MAZDA RX-8,1.3,2,Auto(S6),R,9,16,23,19,20.1772,32,24.2008,P,,,,,,89,8,,,2367, ,DC/FW,0,3,DERIVED
SUBCOMPACT CARS,MERCEDES-BENZ,CLK350,3.5,6,Auto(L7),R,14,17,25,20,21.3,35.5,25.9756,P,,,,82,10,,,,,2250, ,EMS 2MODE CLKUP,4,3,DERIVED
SUBCOMPACT CARS,MERCEDES-BENZ,CLK350 (CABRIOLET),3.5,6,Auto(L7),R,13,17,25,20,21.2,35.4,25.8697,P,,,,81,9,,,,,2250, ,EMS 2MODE CLKUP,4,3,DERIVED
SUBCOMPACT CARS,MERCEDES-BENZ,CLK550,5.5,8,Auto(L7),R,53,15,22,17,18.2,30.3,22.1871,P,G,,,82,10,,,,,2646, ,EMS 2MODE CLKUP,4,3,DERIVED
SUBCOMPACT CARS,MERCEDES-BENZ,CLK550 (CABRIOLET),5.5,8,Auto(L7),R,52,15,21,17,18,29.5,21.8294,P,G,,,81,9,,,,,2646, ,EMS 2MODE CLKUP,4,3,DERIVED
SUBCOMPACT CARS,MERCEDES-BENZ,CLK63 AMG,6.2,8,Auto(S7),R,18,12,19,14,14.6,25.6,18.0998,P,G,,,82,10,,,,,3213, ,EMS 2MODE CLKUP,4,3,DERIVED
SUBCOMPACT CARS,MERCEDES-BENZ,CLK63 AMG (CABRIOLET),6.2,8,Auto(S7),R,19,12,18,14,14.2,25.2,17.6711,P,G,,,81,9,,,,,3213, ,EMS 2MODE CLKUP,4,3,DERIVED
SUBCOMPACT CARS,MINI,MINI CLUBMAN,1.6,4,Manual(M6),F,12,28,37,32,37,51.9,42.4892,P,,,,,,80,17,,,1404, ,,4,3,DERIVED
SUBCOMPACT CARS,MINI,MINI CLUBMAN,1.6,4,Auto(S6),F,12,26,34,29,32.9253,48.6268,38.5228,P,,,,,,80,17,,,1552, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,MINI,MINI CLUBMAN S,1.6,4,Manual(M6),F,14,26,34,29,33.7705,48.6557,39.1619,P,,T,,,,80,17,,,1552, ,,4,3,DERIVED
SUBCOMPACT CARS,MINI,MINI CLUBMAN S,1.6,4,Auto(S6),F,14,23,32,27,29.964,44.5393,35.1385,P,,T,,,,80,17,,,1665, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Manual(M5),F,21,20,28,23,25.1553,38.6329,29.8398,R,,,,,,,,82,16,1827,SOHC,,4,3,DERIVED
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(S4),F,21,20,26,22,24.9205,36.5387,29.0817,R,,,,,,,,82,16,1911,SOHC,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3.8,6,Manual(M6),F,22,16,25,19,20,35.4254,24.8739,P,,,,,,,,82,16,2367,SOHC,,4,3,DERIVED
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3.8,6,Auto(S5),F,22,17,25,20,21.025,35.5419,25.7596,P,,,,,,,,82,16,2250,SOHC,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,NISSAN,ALTIMA COUPE,2.5,4,Auto(AV),F,23,23,31,26,29.3254,43.3253,34.3151,R,,,,89,8,,,,,1617, ,VMODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,NISSAN,ALTIMA COUPE,2.5,4,Manual(M6),F,23,23,32,26,29.3544,45.4439,34.9176,R,,,,89,8,,,,,1617, ,,4,3,DERIVED
SUBCOMPACT CARS,NISSAN,ALTIMA COUPE,3.5,6,Auto(AV),F,41,19,26,22,24.4,35.6,28.4241,P,,,,89,8,,,,,2048, ,VMODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,NISSAN,ALTIMA COUPE,3.5,6,Manual(M6),F,41,19,27,22,23.3,37.8,28.1612,P,,,,89,8,,,,,2048, ,,4,3,DERIVED
SUBCOMPACT CARS,PONTIAC,G5/PURSUIT,2.4,4,Manual(M5),F,60,22,32,26,28.2,44.8,33.843,P,,,,83,14,86,14,,,1732, ,,4,3,DERIVED
SUBCOMPACT CARS,PONTIAC,G5/PURSUIT,2.2,4,Auto(L4),F,57,22,31,26,28.5,43.4,33.7076,R,,,,83,14,86,14,,,1617, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,PONTIAC,G5/PURSUIT,2.2,4,Manual(M5),F,58,24,33,27,30.4,46.3,35.9566,R,,,,83,14,86,14,,,1554, ,SIL ,4,3,DERIVED
SUBCOMPACT CARS,PONTIAC,G5/PURSUIT,2.4,4,Auto(L4),F,59,22,31,25,27.9,43.1,33.163,P,,,,83,14,86,14,,,1800, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,ROUSH PERFORMANCE,ROUSH STAGE3 MUSTANG,4.6,8,Manual(M5),R,1,15,20,17,18,28.1,21.4731,P,G,,S,85,13,,,,,2646, ,EMS ,3,3,DERIVED
SUBCOMPACT CARS,ROUSH PERFORMANCE,ROUSH STAGE3 MUSTANG,4.6,8,Auto(L5),R,3,14,20,16,17,27.8,20.6016,P,G,,S,85,13,,,,,2812, ,EMS ,3,3,DERIVED
SUBCOMPACT CARS,SAAB,9-3 CONVERTIBLE,2.8,6,Manual(M6),F,74,16,26,19,19.7,36,24.741,P,,T,,82,12,,,,,2367, ,,4,3,DERIVED
SUBCOMPACT CARS,SAAB,9-3 CONVERTIBLE,2,4,Manual(M6),F,76,18,27,22,23.1,38.3,28.1224,P,,T,,82,12,,,,,2048, ,,4,3,DERIVED
SUBCOMPACT CARS,SAAB,9-3 CONVERTIBLE,2.8,6,Auto(S6),F,73,15,24,18,18.0319,33.009,22.6582,P,,T,,82,12,,,,,2502, ,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,SAAB,9-3 CONVERTIBLE,2,4,Auto(S5),F,77,18,24,20,22.1,34.1,26.2582,P,,T,,82,12,,,,,2250, ,2MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,SALEEN PERFORMANCE,SALEEN S281 FAMILY,5,8,Manual(M6),R,2,12,18,14,14.5,24.7,17.8095,P,G,,S,85,13,,,,,3213, ,,3,3,DERIVED
SUBCOMPACT CARS,SALEEN PERFORMANCE,SALEEN S281 FAMILY,5,8,Manual(M6),R,3,12,18,14,14.2,25.2,17.6711,P,G,,S,85,13,,,,,3213, ,,3,3,DERIVED
SUBCOMPACT CARS,TOYOTA,SCION TC,2.4,4,Auto(L4),F,5,21,29,24,26,40.2,30.9139,R,,,,,,,,85,13,1751, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,TOYOTA,SCION TC,2.4,4,Manual(M5),F,5,20,27,23,25.6,38.2,30.0621,R,,,,,,,,85,13,1827, ,,4,3,DERIVED
SUBCOMPACT CARS,TOYOTA,SCION XD,1.8,4,Auto(L4),F,4,26,32,28,33.5,45.1,37.8849,R,,,,,,,,84,11,1499, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,TOYOTA,SCION XD,1.8,4,Manual(M5),F,4,27,33,29,34.7,46.9,39.3004,R,,,,,,,,84,11,1449, ,,4,3,DERIVED
SUBCOMPACT CARS,TOYOTA,YARIS,1.5,4,Auto(L4),F,1,29,35,31,37.6644,49.649,42.2542,R,,,,,,87,13,85,13,1357, ,CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,TOYOTA,YARIS,1.5,4,Manual(M5),F,1,29,36,32,37.7675,51.0192,42.7661,R,,,,,,87,13,85,13,1310, ,,4,3,DERIVED
SUBCOMPACT CARS,VOLKSWAGEN,EOS,2,4,Auto(S6),F,5,21,30,24,26.9,41.7,32.0128,P,,T,,77,11,,,,,1876, ,3MODE ,4,3,DERIVED
SUBCOMPACT CARS,VOLKSWAGEN,EOS,2,4,Manual(M6),F,2,21,29,24,26.0135,40.9282,31.1161,P,,T,,77,11,,,,,1876, ,,4,3,DERIVED
SUBCOMPACT CARS,VOLKSWAGEN,EOS,3.2,6,Auto(S6),F,7,19,26,22,24.2,37,28.662,P,,,,77,11,,,,,2048, ,3MODE ,4,3,DERIVED
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,2.5,5,Manual(M5),F,17,20,28,23,25.0247,39.3454,29.9262,R,,,,,,,,85,12,1827, ,,4,3,DERIVED
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,2.5,5,Auto(S6),F,17,20,29,23,25.2031,40.8,30.4394,R,,,,,,,,85,12,1827, ,3MODE CLKUP ,4,3,DERIVED
SUBCOMPACT CARS,VOLVO,C70 CONVERTIBLE,2.5,5,Manual(M6),F,3,18,27,21,23.1,37.1,27.825,P,,T,,84,13,,,,,2142, ,,4,3,DERIVED
SUBCOMPACT CARS,VOLVO,C70 CONVERTIBLE,2.5,5,Auto(S5),F,3,18,26,21,23,36.5,27.5924,P,,T,,84,13,,,,,2142, ,2MODE CLKUP ,4,3,DERIVED
COMPACT CARS,ACURA,TSX,2.4,4,Manual(M6),F,9,19,28,22,24.2,38.5,29.0566,P,,,,,,91,13,,,2048, ,,4,4,DERIVED
COMPACT CARS,ACURA,TSX,2.4,4,Auto(S5),F,9,20,28,23,24.9,39.7,29.9192,P,,,,,,91,13,,,1958, ,2MODE CLKUP ,4,4,DERIVED
COMPACT CARS,AUDI,A4,2,4,Auto(AV),F,12,21,30,24,26.7464,41.4106,31.8164,P,,T,,,,90,13,,,1876, ,3MODE ,4,4,DERIVED
COMPACT CARS,AUDI,A4,2,4,Manual(M6),F,12,20,31,24,25.6,43.6,31.4411,P,,T,,,,90,13,,,1876, ,,4,4,DERIVED
COMPACT CARS,AUDI,A4,3.1,6,Auto(AV),F,22,18,27,21,23.0325,37.6462,27.9074,P,,,,,,90,13,,,2142, ,3MODE ,4,4,DERIVED
COMPACT CARS,AUDI,A4 QUATTRO,2,4,Manual(M6),4,12,20,28,23,24.6,39.4,29.6042,P,,T,,,,90,13,,,1958, ,,4,4,DERIVED
COMPACT CARS,AUDI,A4 QUATTRO,2,4,Auto(S6),4,12,19,27,22,24.2348,38.3379,29.0425,P,,T,,,,90,13,,,2048, ,3MODE CLKUP ,4,4,DERIVED
COMPACT CARS,AUDI,A4 QUATTRO,3.1,6,Manual(M6),4,22,15,25,19,19.2,34.2,23.9213,P,,,,,,90,13,,,2367, ,,4,4,DERIVED
COMPACT CARS,AUDI,A4 QUATTRO,3.1,6,Auto(S6),4,22,17,25,20,21.494,34.5339,25.8939,P,,,,,,90,13,,,2250, ,3MODE CLKUP ,4,4,DERIVED
COMPACT CARS,AUDI,RS4,4.2,8,Manual(M6),4,19,13,20,15,15.4417,27.1538,19.1607,P,G,,,,,89,13,,,3002, ,,4,4,DERIVED
COMPACT CARS,AUDI,S4,4.2,8,Manual(M6),4,18,13,20,15,16.3,27.1,19.862,P,G,,,,,90,13,,,3002, ,,5,4,DERIVED
COMPACT CARS,AUDI,S4,4.2,8,Auto(S6),4,18,14,21,16,17.0202,29.0875,20.927,P,G,,,,,90,13,,,2812, ,3MODE CLKUP ,5,4,DERIVED
COMPACT CARS,BENTLEY,AZURE,6.7,8,Auto(S6),R,22,9,15,11,11.5057,21.0205,14.4488,P,G,T,,93,8,,,,,4090, ,3MODE CLKUP ,4,4,DERIVED
COMPACT CARS,BENTLEY,CONTINENTAL GT,6,12,Auto(S6),4,26,10,17,13,12.8,23.8,16.1613,P,G,T,,89,11,,,,,3460, ,3MODE CLKUP ,4,4,DERIVED
COMPACT CARS,BMW,328I,3,6,Manual(M6),R,30,18,28,21,22.4921,38.9302,27.7684,P,,,,,,93,12,,,2142, ,,4,4,DERIVED
COMPACT CARS,BMW,328I,3,6,Auto(S6),R,30,19,28,22,23.2871,39.6624,28.6008,P,,,,,,93,12,,,2048, ,3MODE CLKUP ,4,4,DERIVED
