CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,INDEX NUMB,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS,5C CODE
TWO SEATERS,LAMBORGHINI,GALLARDO COUPE,5,10,Manual(M6),4,13,10,17,13,12.8,22.9,15.9695,P,G,,,,,,,,,3460, ,,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,GALLARDO COUPE,5,10,Auto(S6),4,13,11,17,13,13.3,23.6996,16.5725,P,G,,,,,,,,,3460, ,2MODE ,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,GALLARDO SPYDER,5,10,Manual(M6),4,13,10,15,12,12,21.3,14.9343,P,G,,,,,,,,,3748, ,,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,GALLARDO SPYDER,5,10,Auto(S6),4,13,10,16,12,12.5498,21.9995,15.5568,P,G,,,,,,,,,3748, ,2MODE ,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,MURCIELAGO,6.5,12,Manual(M6),4,10,8,13,10,10.1,17.5,12.4735,P,G,,,,,,,,,4500, ,,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,MURCIELAGO,6.5,12,Auto(S6),4,10,9,14,11,10.9,19.9,13.6852,P,G,,,,,,,,,4090, ,,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,MURCIELAGO REVENTON,6.5,12,Auto(S6),4,10,9,14,11,10.9,19.9,13.6852,P,G,,,,,,,,,4090, ,,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,MURCIELAGO ROADSTER,6.5,12,Manual(M6),4,10,8,13,10,10.1,17.5,12.4735,P,G,,,,,,,,,4500, ,,4,1,DERIVED
TWO SEATERS,LAMBORGHINI,MURCIELAGO ROADSTER,6.5,12,Auto(S6),4,10,9,14,11,10.9,19.9,13.6852,P,G,,,,,,,,,4090, ,,4,1,DERIVED
TWO SEATERS,LOTUS,ELISE/EXIGE,1.8,4,Manual(M6),R,1,21,27,23,26.5,37.6,30.5597,R,,,,,,,,,,1827, ,EMS ,4,1,DERIVED
TWO SEATERS,LOTUS,ELISE/EXIGE,1.8,4,Manual(M6),R,2,20,26,22,25.2,37,29.4225,R,,,S,,,,,,,1911, ,EMS ,4,1,DERIVED
TWO SEATERS,MAZDA,MX-5,2,4,Manual(M5),R,3,22,27,24,27.4,38,31.3331,P,,,,,,,,,,1876, ,,4,1,DERIVED
TWO SEATERS,MAZDA,MX-5,2,4,Manual(M6),R,3,21,28,24,27.0105,38.521,31.2067,P,,,,,,,,,,1876, ,,4,1,DERIVED
TWO SEATERS,MAZDA,MX-5,2,4,Auto(S6),R,3,20,27,23,24.8262,38.4122,29.5254,P,,,,,,,,,,1958, ,DC/FW,4,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SL55 AMG,5.4,8,Auto(S5),R,3,12,17,14,15,24.1,18.0705,P,G,,S,50,7,,,,,3213, ,EMS 2MODE CLKUP,3,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SL550,5.5,8,Auto(L7),R,20,14,21,16,16.7,29,20.6392,P,G,,,50,7,,,,,2812, ,EMS 2MODE CLKUP,4,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SL600,5.5,12,Auto(L5),R,16,11,18,14,14.1,24.2,17.3605,P,G,T,,50,7,,,,,3213, ,EMS 2MODE CLKUP,3,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SL65 AMG,6,12,Auto(S5),R,17,11,18,14,14.1,24.6,17.4521,P,G,T,,50,7,,,,,3213, ,EMS 2MODE CLKUP,3,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SLK280,3,6,Auto(L7),R,12,18,24,20,22,34.1,26.1804,P,,,,49,7,,,,,2250, ,EMS 2MODE CLKUP,4,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SLK280,3,6,Manual(M6),R,12,17,25,20,21.7,34.6,26.0747,P,,,,49,7,,,,,2250, ,EMS ,4,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SLK350,3.5,6,Auto(L7),R,15,17,23,19,21.2,32,24.9963,P,,,,49,7,,,,,2367, ,EMS 2MODE CLKUP,4,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SLK350,3.5,6,Manual(M6),R,15,16,23,19,20.5,32.1,24.481,P,,,,49,7,,,,,2367, ,EMS ,4,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SLK55 AMG,5.4,8,Auto(S7),R,21,14,20,16,17.4,28.1,20.9981,P,G,,,49,7,,,,,2812, ,EMS 2MODE CLKUP,3,1,DERIVED
TWO SEATERS,MERCEDES-BENZ,SLR,5.4,8,Auto(S5),R,58,12,16,13,14.2105,21.7982,16.8499,P,G,,S,48,10,,,,,3460, ,EMS 2MODE CLKUP,3,1,DERIVED
TWO SEATERS,NISSAN,350Z,3.5,6,Manual(M6),R,44,18,25,20,22.2,34.7,26.4949,P,,,,,,,,,,2250, ,,4,1,DERIVED
TWO SEATERS,NISSAN,350Z,3.5,6,Auto(S5),R,44,17,24,20,21.4963,32.9853,25.4918,P,,,,,,,,,,2250, ,CLKUP ,4,1,DERIVED
TWO SEATERS,NISSAN,350Z ROADSTER,3.5,6,Manual(M6),R,45,17,24,20,21.6,33.8,25.7888,P,,,,,,,,,,2250, ,,4,1,DERIVED
TWO SEATERS,NISSAN,350Z ROADSTER,3.5,6,Auto(S5),R,45,17,23,19,20.8,32.5,24.821,P,,,,,,,,,,2367, ,CLKUP ,4,1,DERIVED
TWO SEATERS,PONTIAC,SOLSTICE,2,4,Auto(L5),R,19,19,26,21,23.2499,36.8997,27.893,P,,T,,,,,,,,2142, ,CLKUP ,4,1,DERIVED
TWO SEATERS,PONTIAC,SOLSTICE,2,4,Manual(M5),R,20,19,28,22,24.2,39.6,29.3333,P,,T,,,,,,,,2048, ,,4,1,DERIVED
TWO SEATERS,PONTIAC,SOLSTICE,2.4,4,Auto(L5),R,17,19,24,21,24.2,33.4,27.6241,P,,,,,,,,,,2142, ,CLKUP ,4,1,DERIVED
TWO SEATERS,PONTIAC,SOLSTICE,2.4,4,Manual(M5),R,18,19,25,21,23.6,34.8,27.5968,P,,,,,,,,,,2142, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,911 GT2,3.6,6,Manual(M6),R,900,16,23,19,20.1,32.3,24.216,P,,T,,,,,,,,2367, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Auto(L5),R,100,19,26,21,23.7,36.2,28.0602,P,,,,,,,,,,2142, ,2MODE ,4,1,DERIVED
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M5),R,100,20,29,23,25.8,40.4,30.8105,P,,,,,,,,,,1958, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M6),R,100,19,28,22,23.9,39.8,29.1383,P,,,,,,,,,,2048, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,BOXSTER S,3.4,6,Auto(L5),R,650,18,25,21,22.5,35.2,26.8611,P,,,,,,,,,,2142, ,2MODE ,4,1,DERIVED
TWO SEATERS,PORSCHE,BOXSTER S,3.4,6,Manual(M6),R,650,18,26,21,22.2,36,26.8278,P,,,,,,,,,,2142, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,CAYMAN,2.7,6,Auto(L5),R,100,19,26,21,23.7,36.2,28.0602,P,,,,,,,,,,2142, ,2MODE ,4,1,DERIVED
TWO SEATERS,PORSCHE,CAYMAN,2.7,6,Manual(M5),R,100,20,29,23,25.8,40.4,30.8105,P,,,,,,,,,,1958, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,CAYMAN,2.7,6,Manual(M6),R,100,19,28,22,23.9,39.8,29.1383,P,,,,,,,,,,2048, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,CAYMAN S,3.4,6,Auto(L5),R,650,18,25,21,22.5,35.2,26.8611,P,,,,,,,,,,2142, ,2MODE ,4,1,DERIVED
TWO SEATERS,PORSCHE,CAYMAN S,3.4,6,Manual(M6),R,650,18,26,21,22.2,36,26.8278,P,,,,,,,,,,2142, ,,4,1,DERIVED
