Class,Manufacturer,carline name,displ,cyl,trans,drv,bidx,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,MERCEDES-BENZ,SL600,6,12,Auto(L5),R,60,13,19,15,14.3498,23.9491,17.5076,P,G,,,50,8,,,,,1651,GUZZLER,EMS 2MODE CLKUP,4,1
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Auto(L5),R,449,23,30,25,25.2515,38.0419,29.7531,P,,,S,48,10,,,,,990,,EMS 2MODE CLKUP,4,1
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Manual(M6),R,449,20,30,24,22.3556,37.9237,27.4211,P,,,S,48,10,,,,,1032,,EMS,4,1
TWO SEATERS,MERCEDES-BENZ,SLK32 AMG,3.2,6,Auto(L5),R,464,18,24,20,20.4,30.3,23.9164,P,,,S,48,10,,,,,1238,,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Auto(L5),R,465,20,26,22,22.1,33.4,26.0689,P,,,,48,10,,,,,1126,,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Manual(M6),R,465,17,26,20,19,32.8,23.4374,P,,,,48,10,,,,,1238,,EMS,3,1
TWO SEATERS,PORSCHE,911 GT2,3.6,6,Manual(M6),R,400,15,22,18,16.9,27.9,20.5451,P,G,T,,,,,,,,1376,GUZZLER,,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M5),R,100,19,27,22,21.5,35.1,26.0404,P,,,,,,,,,,1126,,,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Auto(S5),R,100,17,25,20,19.4354,31.543,23.4934,P,,,,,,,,,,1238,,2MODE,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Manual(M6),R,200,18,26,20,19.5,32.7,23.8285,P,,,,,,,,,,1238,,,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Auto(S5),R,200,17,25,20,18.6379,31.7197,22.8851,P,,,,,,,,,,1238,,2MODE,4,1
TWO SEATERS,TOYOTA,MR2,1.8,4,Manual(M5),R,19,25,30,27,27.9,38.3,31.7838,R,,,,46,2,,,,,832,,,4,1
MINICOMPACT CARS,AUDI,TT COUPE,1.8,4,Manual(M5),F,18,23,31,26,25.6,40,30.5489,P,,T,,,,,,65,14,953,,,5,2
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M5),4,18,20,29,24,22.7,37.3,27.5532,P,,T,,,,,,65,11,1032,,,5,2
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M6),4,18,20,28,23,22.382,35.9827,26.9692,P,,T,,,,,,65,11,1077,,,5,2
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Manual(M5),R,25,19,27,22,20.8482,34.0168,25.2462,P,,,,74,9,,,,,1126,,,4,2
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Auto(S5),R,25,19,26,21,20.6709,32.831,24.8053,P,,,,74,9,,,,,1178,,3MODE,4,2
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3,6,Auto(L5),R,30,18,26,21,19.9218,33.3892,24.3396,P,,,,74,9,,,,,1178,,3MODE,4,2
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3,6,Manual(M5),R,30,20,28,23,21.9,35.8,26.5365,P,,,,74,9,,,,,1077,,,4,2
MINICOMPACT CARS,BMW,M3 CONVERTIBLE,3.2,6,Manual(M6),R,32,16,23,18,17.5,29.5431,21.4314,P,G,,,74,9,,,,,1376,GUZZLER,,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XK8 CONVERTIBLE,4,8,Auto(L5),R,220,17,24,20,19.0093,30.3497,22.8517,P,,,,70,10,,,,,1238,,2MODE,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XKR CONVERTIBLE,4,8,Auto(L5),R,77,16,22,19,18.1432,28.7881,21.7648,P,G,,S,70,10,,,,,1302,GUZZLER,2MODE,4,2
MINICOMPACT CARS,LEXUS,SC 300/SC 430,4.3,8,Auto(L5),R,1,18,23,20,19.9249,29.8249,23.4237,P,,,,75,9,,,,,1238,,2MODE CLKUP,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Manual(M5),F,20,22,29,25,24.4,37.2,28.8702,R,,,,75,7,,,,,900,SOHC,,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Auto(S4),F,20,20,26,22,21.7407,33.8988,25.9249,R,,,,75,7,,,,,1024,SOHC,2MODE CLKUP,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3,6,Manual(M5),F,21,20,29,23,22.2,36.6,26.9761,P,,,,75,7,,,,,1077,SOHC,,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3,6,Auto(S4),F,21,19,28,22,21.5958,35.4465,26.2033,P,,,,75,7,,,,,1126,SOHC,2MODE CLKUP,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA,3.6,6,Manual(M6),R,300,18,26,21,19.6,33.4,24.0765,P,,,,70,5,,,,,1178,,,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA,3.6,6,Auto(S5),R,300,18,26,21,20.1683,32.7973,24.3955,P,,,,70,5,,,,,1178,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 4 CABRIOLET,3.6,6,Manual(M6),4,300,17,24,19,18.7,30.3,22.5921,P,,,,68,5,,,,,1302,,,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 4 CABRIOLET,3.6,6,Auto(S5),4,300,17,23,19,18.9277,29.9987,22.697,P,,,,68,5,,,,,1302,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 4S,3.6,6,Manual(M6),4,300,17,24,19,18.9,30.3,22.7521,P,,,,68,5,,,,,1302,,,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 4S,3.6,6,Auto(S5),4,300,17,23,19,18.8276,29.1492,22.3963,P,,,,68,5,,,,,1302,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA CABRIOLET,3.6,6,Manual(M6),R,300,18,26,21,19.9,33.8,24.419,P,,,,68,5,,,,,1178,,,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA CABRIOLET,3.6,6,Auto(S5),R,300,18,26,21,20.135,32.9952,24.4177,P,,,,68,5,,,,,1178,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 TARGA,3.6,6,Manual(M6),R,300,18,26,21,19.9,33.8,24.419,P,,,,68,5,,,,,1178,,,4,2
MINICOMPACT CARS,PORSCHE,911 TARGA,3.6,6,Auto(S5),R,300,18,26,21,20.135,32.9952,24.4177,P,,,,68,5,,,,,1178,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Manual(M6),4,400,15,22,18,16.9,27.9,20.5451,P,G,T,,68,5,,,,,1376,GUZZLER,,4,2
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Auto(S5),4,400,15,22,17,16.3976,28.5492,20.2824,P,G,T,,68,5,,,,,1455,GUZZLER,2MODE,4,2
SUBCOMPACT CARS,ACURA,RSX,2,4,Manual(M5),F,30,27,33,29,29.6,42,34.1351,R,,,,,,,,81,16,776,,,4,3
SUBCOMPACT CARS,ACURA,RSX,2,4,Manual(M6),F,30,24,31,27,27,39.9,31.597,P,,,,,,,,81,16,916,,,4,3
SUBCOMPACT CARS,ACURA,RSX,2,4,Auto(S5),F,30,24,33,27,26.9232,41.6806,32.0258,R,,,,,,,,81,16,832,,2MODE,4,3
SUBCOMPACT CARS,BMW,325CI,2.5,6,Manual(M5),R,25,20,29,24,22.6379,37.6438,27.5864,P,,,,84,9,,,,,1032,,,4,3
SUBCOMPACT CARS,BMW,325CI,2.5,6,Auto(S5),R,25,19,27,22,21.3621,34.0235,25.659,P,,,,84,9,,,,,1126,,3MODE,4,3
