CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS
MIDSIZE STATION WAGONS,MERCEDES-BENZ,E350 4MATIC (WAGON),3.5,6,Auto(L5),4,18,24,20,19.8,30.2,23.431,P,,,,,,96,41,,,1800, ,EMS 2MODE CLKUP,4,8
MIDSIZE STATION WAGONS,MERCEDES-BENZ,E500 4MATIC (WAGON),5,8,Auto(L5),4,16,20,17,17.6,25.5,20.4511,P,G,,,,,96,41,,,2117, ,EMS 2MODE CLKUP,3,8
MIDSIZE STATION WAGONS,MERCEDES-BENZ,E55 AMG (WAGON),5.4,8,Auto(S5),R,15,21,17,16.2,27,19.7561,P,G,,S,,,96,41,,,2117, ,EMS 2MODE CLKUP,3,8
MIDSIZE STATION WAGONS,SUBARU,LEGACY WAGON AWD,2.5,4,Manual(M5),4,20,26,22,21.6772,33.4229,25.7492,P,,T,,,,97,34,,,1638, ,,4,8
MIDSIZE STATION WAGONS,SUBARU,LEGACY WAGON AWD,2.5,4,Manual(M5),4,22,29,25,24.5645,37.3063,29.0256,R,,,,,,97,34,,,1320, ,,4,8
MIDSIZE STATION WAGONS,SUBARU,LEGACY WAGON AWD,2.5,4,Auto(S4),4,23,30,26,25.4756,38.4033,30.0237,R,,,,,,97,34,,,1270, ,2MODE CLKUP ,4,8
MIDSIZE STATION WAGONS,SUBARU,LEGACY WAGON AWD,2.5,4,Auto(S5),4,19,25,21,21.2071,32.0371,25.0119,P,,T,,,,97,34,,,1714, ,2MODE CLKUP ,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 AWD,2.5,5,Auto(L5),4,20,27,22,21.7567,34.9111,26.199,P,,T,,,,,,98,36,1638, ,CLKUP ,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 AWD,2.5,5,Auto(S5),4,20,28,23,21.9963,35.3323,26.4968,P,,T,,,,,,98,36,1566, ,2MODE CLKUP ,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 FWD,2.4,5,Auto(L5),F,21,28,23,22.7821,36.2831,27.3641,P,,,,,,,,98,36,1566, ,CLKUP ,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 FWD,2.4,5,Manual(M5),F,22,29,24,24,37.5,28.6396,P,,,,,,,,98,36,1501, ,,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 FWD,2.4,5,Manual(M6),F,20,26,22,21.8,33.6,25.8918,P,,T,,,,,,98,36,1638, ,,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 FWD,2.4,5,Auto(S5),F,20,28,23,22.5965,36.2892,27.218,P,,T,,,,,,98,36,1566, ,2MODE CLKUP ,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 FWD,2.5,5,Auto(S5),F,21,29,24,23.1,37.6,27.9504,P,,T,,,,,,98,36,1501, ,2MODE CLKUP ,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 R AWD,2.5,5,Manual(M6),4,18,24,21,20.2,31.3,24.0357,P,,T,,,,,,98,36,1714, ,,4,8
MIDSIZE STATION WAGONS,VOLVO,V70 R AWD,2.5,5,Auto(S6),4,18,25,20,19.5473,32.542,23.8293,P,,T,,,,,,98,36,1800, ,2MODE CLKUP ,4,8
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C15 SILVERADO HYBRID 2WD,5.3,8,Auto(L4),R,18,21,19,19.8,26.5,22.3419,R,,,,,,,,,,1736, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,4.3,6,Auto(L4),R,16,21,18,17.9466,26.7887,21.0773,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,4.3,6,Manual(M5),R,16,22,18,17.8,27.7,21.2114,R,,,,,,,,,,1835, ,SIL ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,4.8,8,Auto(L4),R,16,21,18,18.3,26.8173,21.3516,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,4.8,8,Manual(M5),R,16,21,18,18.7,28,21.9861,R,,,,,,,,,,1835, ,SIL ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,5.3,8,Auto(L4),R,16,20,18,17.6849,26.041,20.6695,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,5.3,8,Auto(L4),R,12,16,14,13.4405,20.4608,15.8946,E,,,,,,,,,,2142,RNG310-480,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,5.3,8,Auto(L4),R,16,20,18,17.8049,26.9053,21.0014,R,,,,,,,,,,1835,RNG420-610,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,C1500 SILVERADO 2WD,6,8,Auto(L4),R,14,19,16,16.7,25.1,19.6609,P,,,,,,,,,,2250, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO 2WD,2.8,4,Auto(L4),R,17,23,19,18.9998,30.0405,22.7649,R,,,,,,,,,,1736, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO 2WD,2.8,4,Manual(M5),R,20,27,23,22.4,34.9224,26.7099,R,,,,,,,,,,1436, ,SIL ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO 2WD,3.5,5,Auto(L4),R,19,24,21,20.9,31.0773,24.5123,R,,,,,,,,,,1571, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO 2WD,3.5,5,Manual(M5),R,19,25,21,21.3483,32.2018,25.1651,R,,,,,,,,,,1571, ,SIL ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO CAB CHASSIS INC 2WD,3.5,5,Auto(L4),R,17,22,19,18.7,28.5,22.1233,R,,,,,,,,,,1736, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO CREW CAB 2WD,2.8,4,Auto(L4),R,17,23,19,18.8,30,22.5962,R,,,,,,,,,,1736, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO CREW CAB 2WD,2.8,4,Manual(M5),R,20,27,23,22.4,35.2,26.7826,R,,,,,,,,,,1436, ,SIL ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,COLORADO CREW CAB 2WD,3.5,5,Auto(L4),R,19,24,21,20.9,30.8,24.4342,R,,,,,,,,,,1571, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,SSR PICKUP 2WD,6,8,Auto(L4),R,15,19,17,16.7,25.1,19.6609,P,,,,,,,,,,2117, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,CHEVROLET,SSR PICKUP 2WD,6,8,Manual(M6),R,13,20,16,14.5,25.8,18.0594,P,,,,,,,,,,2250, ,,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,DAKOTA PICKUP 2WD,3.7,6,Auto(L4),R,16,22,18,18.1,28.1,21.5513,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,DAKOTA PICKUP 2WD,3.7,6,Manual(M6),R,16,22,19,19.0438,27.7889,22.1856,R,,,,,,,,,,1736, ,,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,DAKOTA PICKUP 2WD,4.7,8,Auto(L5),R,15,20,17,16.7,25.5,19.7702,R,,,,,,,,,,1940, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,DAKOTA PICKUP 2WD,4.7,8,Manual(M6),R,15,20,17,16.4,25.7,19.5901,R,,,,,,,,,,1940, ,,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,3.7,6,Auto(L4),R,16,21,18,17.7,26.9,20.9196,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,3.7,6,Manual(M6),R,16,21,19,19.2608,27.1737,22.1653,R,,,,,,,,,,1736, ,,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,4.7,8,Auto(L5),R,14,19,16,15.3966,23.8978,18.331,R,,,,,,,,,,2062, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,4.7,8,Auto(L5),R,9,11,10,9.8,14.6,11.5016,E,,,,,,,,,,3000,E85 260 MI,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,4.7,8,Auto(L5),R,12,15,13,13.5,20.5,15.951,R,,,,,,,,,,2538,GAS 340 MI,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,4.7,8,Manual(M6),R,14,19,16,15.5632,23.7359,18.4167,R,,,,,,,,,,2062, ,,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,5.7,8,Auto(L5),R,15,19,17,16.3,25.6,19.4854,R,,,,,,,,,,1940, ,CLKUP ,1,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,8.3,10,Auto(L4),R,9,12,10,10,15.7,11.9528,P,,,,,,,,,,3600, ,,2,12
STANDARD PICKUP TRUCKS 2WD,DODGE,RAM 1500 PICKUP 2WD,8.3,10,Manual(M6),R,9,15,11,10.4734,18.7,13.0586,P,,,,,,,,,,3272, ,,2,12
STANDARD PICKUP TRUCKS 2WD,FORD,F150 PICKUP 2WD,4.2,6,Auto(L4),R,16,20,17,17.2884,25.7168,20.2792,R,,,,,,,,,,1940, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,FORD,F150 PICKUP 2WD,4.2,6,Manual(M5),R,15,20,17,17.1,26,20.2137,R,,,,,,,,,,1940, ,,2,12
STANDARD PICKUP TRUCKS 2WD,FORD,F150 PICKUP 2WD,4.6,8,Auto(L4),R,15,19,16,16.2323,23.9353,18.9813,R,,,,,,,,,,2062, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,FORD,F150 PICKUP 2WD,5.4,8,Auto(L4),R,14,19,16,16.059,24.2923,18.949,R,,,,,,,,,,2062, ,CLKUP ,3,12
STANDARD PICKUP TRUCKS 2WD,FORD,RANGER PICKUP 2WD,2.3,4,Auto(L5),R,21,26,23,23.5,33.8,27.2347,R,,,,,,,,,,1436, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,FORD,RANGER PICKUP 2WD,2.3,4,Manual(M5),R,24,29,26,26.1336,37.2769,30.1955,R,,,,,,,,,,1270, ,,4,12
STANDARD PICKUP TRUCKS 2WD,FORD,RANGER PICKUP 2WD,3,6,Auto(L5),R,17,23,19,19.241,28.9228,22.6534,R,,,,,,,,,,1736, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,FORD,RANGER PICKUP 2WD,3,6,Manual(M5),R,18,23,20,20.1118,29.609,23.5044,R,,,,,,,,,,1650, ,,2,12
STANDARD PICKUP TRUCKS 2WD,FORD,RANGER PICKUP 2WD,4,6,Auto(L5),R,17,22,19,18.3699,27.882,21.7015,R,,,,,,,,,,1736, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,FORD,RANGER PICKUP 2WD,4,6,Manual(M5),R,17,23,19,19.3377,28.9033,22.7216,R,,,,,,,,,,1736, ,,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C15 SIERRA HYBRID 2WD,5.3,8,Auto(L4),R,18,21,19,19.8,26.5,22.3419,R,,,,,,,,,,1736, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,4.3,6,Auto(L4),R,16,21,18,18.3,27.4,21.5156,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,4.3,6,Manual(M5),R,16,22,18,17.8,27.7,21.2114,R,,,,,,,,,,1835, ,SIL ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,4.8,8,Auto(L4),R,16,21,18,18.3,26.8426,21.3589,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,4.8,8,Manual(M5),R,16,21,18,18.7,28,21.9861,R,,,,,,,,,,1835, ,SIL ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,5.3,8,Auto(L4),R,16,20,18,17.9447,26.4735,20.9873,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,5.3,8,Auto(L4),R,12,16,14,13.3985,20.4329,15.8547,E,,,,,,,,,,2142,RNG310-480,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,5.3,8,Auto(L4),R,16,20,18,17.6741,26.7744,20.8654,R,,,,,,,,,,1835,RNG420-610,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,C1500 SIERRA 2WD,6,8,Auto(L4),R,14,19,16,16.7,25.1,19.6609,P,,,,,,,,,,2250, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON 2WD,2.8,4,Auto(L4),R,17,23,19,18.9918,30.0389,22.7581,R,,,,,,,,,,1736, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON 2WD,2.8,4,Manual(M5),R,20,27,23,22.4,34.7677,26.6691,R,,,,,,,,,,1436, ,SIL ,4,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON 2WD,3.5,5,Auto(L4),R,19,24,21,20.9,31.0581,24.5069,R,,,,,,,,,,1571, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON 2WD,3.5,5,Manual(M5),R,19,25,21,21.3448,32.2088,25.1644,R,,,,,,,,,,1571, ,SIL ,4,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON CAB CHASSIS INC 2WD,3.5,5,Auto(L4),R,17,22,19,18.7,28.5,22.1233,R,,,,,,,,,,1736, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON CREW CAB 2WD,2.8,4,Auto(L4),R,17,23,19,18.8,30,22.5962,R,,,,,,,,,,1736, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON CREW CAB 2WD,2.8,4,Manual(M5),R,20,27,23,22.4,35.2,26.7826,R,,,,,,,,,,1436, ,SIL ,4,12
STANDARD PICKUP TRUCKS 2WD,GMC,CANYON CREW CAB 2WD,3.5,5,Auto(L4),R,19,24,21,20.9,30.8,24.4342,R,,,,,,,,,,1571, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,ISUZU,I-280 2WD EXT CAB,2.8,4,Auto(L4),R,17,23,19,18.8,30,22.5962,R,,,,,,,,,,1736, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,ISUZU,I-280 2WD EXT CAB,2.8,4,Manual(M5),R,20,27,23,22.4,35.2,26.7826,R,,,,,,,,,,1436, ,SIL ,4,12
STANDARD PICKUP TRUCKS 2WD,LINCOLN,MARK LT,5.4,8,Auto(L4),R,15,19,16,16.1498,24.3499,19.0343,R,,,,,,,,,,2062, ,CLKUP ,3,12
STANDARD PICKUP TRUCKS 2WD,MAZDA,B2300 2WD,2.3,4,Auto(L5),R,21,26,23,23.5,33.8,27.2347,R,,,,,,,,,,1436, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,MAZDA,B2300 2WD,2.3,4,Manual(M5),R,24,29,26,26.1336,37.2769,30.1955,R,,,,,,,,,,1270, ,,4,12
STANDARD PICKUP TRUCKS 2WD,MAZDA,B3000,3,6,Auto(L5),R,17,23,19,19.1917,28.8707,22.6014,R,,,,,,,,,,1736, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,MAZDA,B3000,3,6,Manual(M5),R,18,23,20,20.0061,29.5575,23.4104,R,,,,,,,,,,1650, ,,2,12
STANDARD PICKUP TRUCKS 2WD,MAZDA,B4000 2WD,4,6,Auto(L5),R,16,22,18,18.3,27.8,21.6255,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,MAZDA,B4000 2WD,4,6,Manual(M5),R,17,23,19,19.3377,28.9033,22.7216,R,,,,,,,,,,1736, ,,2,12
STANDARD PICKUP TRUCKS 2WD,MITSUBISHI,RAIDER PICKUP 2WD,3.7,6,Auto(L4),R,16,22,18,18.1,28.1,21.5513,R,,,,,,,,,,1835, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,MITSUBISHI,RAIDER PICKUP 2WD,3.7,6,Manual(M6),R,16,22,19,19.0438,27.7889,22.1856,R,,,,,,,,,,1736, ,,2,12
STANDARD PICKUP TRUCKS 2WD,MITSUBISHI,RAIDER PICKUP 2WD,4.7,8,Auto(L5),R,15,20,17,16.7579,25.6731,19.8616,R,,,,,,,,,,1940, ,CLKUP ,2,12
STANDARD PICKUP TRUCKS 2WD,MITSUBISHI,RAIDER PICKUP 2WD,4.7,8,Manual(M6),R,15,20,17,16.4,25.7,19.5901,R,,,,,,,,,,1940, ,,2,12
