Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr
TWO SEATERS,ACURA,NSX,3.0,6,Auto(L4),R,18,24,20,19.8733,30.3612,23.5311,P,,,,,,,,,,1050,DOHC VTEC,2MODE CLKUP
TWO SEATERS,ACURA,NSX,3.2,6,Manual(M6),R,17,24,20,19.4,30.1295,23.1021,P,,,,,,,,,,1050,DOHC VTEC,
TWO SEATERS,ASTON MARTIN,DB7 COUPE,3.2,6,Auto(L4),R,14,20,16,15.6,26.2,19.0723,P,G,,S,,,,,,,1312,ASTON-DB7,CLKUP
TWO SEATERS,ASTON MARTIN,DB7 COUPE,3.2,6,Manual(M5),R,14,21,16,15,26.3,18.5953,P,G,,S,,,,,,,1312,ASTON-DB7,
TWO SEATERS,ASTON MARTIN,DB7 VOLANTE,3.2,6,Auto(L4),R,14,20,16,15.6,26.2,19.0723,P,G,,S,,,,,,,1312,ASTON-DB7,CLKUP
TWO SEATERS,ASTON MARTIN,DB7 VOLANTE,3.2,6,Manual(M5),R,14,21,16,15,26.3,18.5953,P,G,,S,,,,,,,1312,ASTON-DB7,
TWO SEATERS,BMW,M ROADSTER,3.2,6,Manual(M5),R,20,28,23,22.2,36,26.8278,R,,,,,,,,,,816,,
TWO SEATERS,BMW,Z3 ROADSTER,1.9,4,Auto(L4),R,22,31,26,24.966,39.1636,29.8327,R,,,,,,,,,,722,,
TWO SEATERS,BMW,Z3 ROADSTER,1.9,4,Manual(M5),R,23,32,26,25.7315,41.0884,30.9343,R,,,,,,,,,,722,,
TWO SEATERS,BMW,Z3 ROADSTER,2.8,6,Auto(L4),R,18,24,20,20.1,31.2,23.9313,R,,,,,,,,,,938,,
TWO SEATERS,BMW,Z3 ROADSTER,2.8,6,Manual(M5),R,19,26,21,20.6,33.2,24.8427,R,,,,,,,,,,892,,
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Auto(L4),R,17,25,20,18.6,31.7776,22.8672,P,,,,,,,,,,1050,,CLKUP
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Manual(M6),R,18,27,21,19.8564,34.8859,24.6317,P,,,,,,,,,,1000,,
TWO SEATERS,DODGE,VIPER CONVERTIBLE,8.0,10,Manual(M6),R,12,21,15,12.9514,27.0565,16.9209,P,G,,,,,,,,,1401,,
TWO SEATERS,DODGE,VIPER COUPE,8.0,10,Manual(M6),R,12,21,15,12.9514,27.0565,16.9209,P,G,,,,,,,,,1401,,
TWO SEATERS,FERRARI,FERRARI 550 MARANELLO,5.5,12,Manual(M6),R,9,15,11,10.1,18.9,12.7771,P,G,,,,,,,,,1909,,
TWO SEATERS,FERRARI,FERRARI F355/355 F1,3.5,8,Auto(A6),R,10,14,11,10.9991,17.9728,13.3259,P,G,,,,,,,,,1909,,3MODE
TWO SEATERS,FERRARI,FERRARI F355/355 F1,3.5,8,Manual(M6),R,10,15,12,11.1,19.6,13.7914,P,G,,,,,,,,,1749,,
TWO SEATERS,LAMBORGHINI,DB132/144 DIABLO,5.7,12,Manual(M5),4,10,13,11,10.9,17.3,13.077,P,G,,,,,,,,,1909,,
TWO SEATERS,LOTUS,98 ESRIT V8,3.5,8,Manual(M5),R,15,23,18,17.2,29.5,21.1725,P,G,T,,,,,,,,1168,V8,
TWO SEATERS,MERCEDES-BENZ,SL500,5.0,8,Auto(L5),R,16,23,18,17.4,29.4,21.315,P,G,,,50,8,,,,,1168,,EMS 2MODE CLKUP
TWO SEATERS,MERCEDES-BENZ,SL600,6.0,12,Auto(L5),R,14,20,16,15,25.3,18.3644,P,G,,,50,8,,,,,1312,,EMS 2MODE CLKUP
TWO SEATERS,PORSCHE,BOXSTER,2.5,6,Auto(A5),R,17,24,19,18.3899,30.623,22.4202,P,,,,,,,,,,1105,,2MODE
TWO SEATERS,PORSCHE,BOXSTER,2.5,6,Manual(M5),R,19,26,22,21.2,33.9499,25.5114,P,,,,,,,,,,956,,
TWO SEATERS,SUZUKI,X-90 4WD,1.6,4,Auto(L4),4,23,27,25,25.8657,34.874,29.2678,R,,,,,,,,,,750,,2MODE 2LKUP
TWO SEATERS,SUZUKI,X-90 4WD,1.6,4,Manual(M5),4,25,28,26,27.5634,35.8814,30.7737,R,,,,,,,,,,722,,
TWO SEATERS,SUZUKI,X-90 RWD,1.6,4,Auto(L4),R,23,27,25,25.8641,34.8807,29.2688,R,,,,,,,,,,750,,2MODE 2LKUP
TWO SEATERS,SUZUKI,X-90 RWD,1.6,4,Manual(M5),R,25,28,26,27.6179,35.9288,30.8267,R,,,,,,,,,,722,,
MINICOMPACT CARS,AUDI,CABRIOLET,2.8,6,Auto(L4),F,19,24,21,21,30.7,24.4807,P,,,,71,7,,,,,1000,,CLKUP
MINICOMPACT CARS,BMW,323I CONVERTIBLE,2.5,6,Auto(L4),R,19,27,22,20.8956,34.6788,25.4468,R,,,,74,9,,,,,853,,
MINICOMPACT CARS,BMW,323I CONVERTIBLE,2.5,6,Manual(M5),R,20,30,24,22.4856,38.3202,27.6218,R,,,,74,9,,,,,782,,
MINICOMPACT CARS,BMW,328I CONVERTIBLE,2.8,6,Auto(L4),R,18,26,21,20.4924,33.4147,24.81,R,,,,74,9,,,,,892,,
MINICOMPACT CARS,BMW,328I CONVERTIBLE,2.8,6,Manual(M5),R,20,28,23,21.821,36.5059,26.644,R,,,,74,9,,,,,816,,
MINICOMPACT CARS,BMW,M3 CONVERTIBLE,3.2,6,Auto(L5),R,17,25,20,19.2,32.1,23.4387,R,,,,,,74,9,,,938,,
MINICOMPACT CARS,BMW,M3 CONVERTIBLE,3.2,6,Manual(M5),R,20,28,23,22.2,36,26.8278,R,,,,,,74,9,,,816,,
MINICOMPACT CARS,JAGUAR,JAGUAR XK8 CONVERTIBLE,4.0,8,Auto(L5),R,17,24,19,18.8157,30.6253,22.7663,P,,,,70,10,,,,,1105,,EMS 2MODE
MINICOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE CONVERT.,2.0,4,Auto(L4),F,20,26,22,22.3,34,26.3859,P,,T,,,,,,74,5,914,DOHC-T/C,
MINICOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE CONVERT.,2.0,4,Manual(M5),F,23,31,26,25.5,40.1,30.4966,P,,T,,,,,,74,5,808,DOHC-T/C,
MINICOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE CONVERT.,2.3,4,Auto(L4),F,21,28,23,22.7922,36.0357,27.3085,R,,,,,,,,74,5,816,SOHC,
MINICOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE CONVERT.,2.3,4,Manual(M5),F,22,30,25,24.375,38.0046,29.0657,R,,,,,,,,74,5,750,SOHC,
MINICOMPACT CARS,NISSAN,240SX,2.4,4,Auto(L4),R,21,27,23,23.7006,34.0476,27.4552,P,,,,71,9,,,,,914,,CLKUP
MINICOMPACT CARS,NISSAN,240SX,2.4,4,Manual(M5),R,22,28,24,24.7,35.4,28.5885,P,,,,71,9,,,,,876,,
MINICOMPACT CARS,PORSCHE,911 CARRERA 4/2,3.6,6,Auto(A4),R,17,24,19,18.4462,30.3344,22.3959,P,,,,55,4,,,,,1105,,2MODE
MINICOMPACT CARS,PORSCHE,911 CARRERA 4/2,3.6,6,Manual(M6),R,17,25,20,18.5499,31.9,22.8538,P,,,,55,4,,,,,1050,,
MINICOMPACT CARS,PORSCHE,911 CARRERA 4/2,3.6,6,Manual(M6),4,16,23,18,17.8157,29.1335,21.59,P,G,,,55,4,,,,,1168,,
MINICOMPACT CARS,TOYOTA,CELICA CONVERTIBLE,2.2,4,Auto(L4),F,23,30,26,25.4839,38.3624,30.0188,R,,,,67,7,,,,,722,,CLKUP
MINICOMPACT CARS,TOYOTA,CELICA CONVERTIBLE,2.2,4,Manual(M5),F,22,28,24,24.342,35.6032,28.3816,R,,,,67,7,,,,,782,,
MINICOMPACT CARS,TOYOTA,PASEO,1.5,4,Auto(L4),F,27,32,29,29.7476,40.7848,33.8726,R,,,,74,8,,,,,647,,CLKUP
MINICOMPACT CARS,TOYOTA,PASEO,1.5,4,Manual(M5),F,29,35,32,32.3167,44.9583,36.9982,R,,,,74,8,,,,,585,,
MINICOMPACT CARS,TOYOTA,PASEO CONVERTIBLE,1.5,4,Auto(L4),F,27,32,29,29.7476,40.7848,33.8726,R,,,,64,7,,,,,647,,CLKUP
MINICOMPACT CARS,TOYOTA,PASEO CONVERTIBLE,1.5,4,Manual(M5),F,29,34,31,31.9,44.2,36.4666,R,,,,64,7,,,,,606,,
MINICOMPACT CARS,TOYOTA,SUPRA,3.0,6,Auto(L4),R,19,24,21,20.8995,31.2,24.5462,P,,,,,,,,69,10,1000,,CLKUP
MINICOMPACT CARS,TOYOTA,SUPRA,3.0,6,Auto(L4),R,18,23,20,20.1,29.5,23.4646,P,,T,,,,,,69,10,1050,,
MINICOMPACT CARS,TOYOTA,SUPRA,3.0,6,Manual(M6),R,17,24,19,18.5337,30.8528,22.5932,P,,T,,,,,,69,10,1105,,
SUBCOMPACT CARS,ACURA,2.3CL/3.0CL,2.3,4,Auto(L4),F,22,30,25,24.5,37.9,29.1356,R,,,,85,12,,,,,750,SOHC VTEC,CLKUP
SUBCOMPACT CARS,ACURA,2.3CL/3.0CL,2.3,4,Manual(M5),F,24,31,27,27.1,40.2,31.7569,R,,,,85,12,,,,,694,SOHC VTEC,
SUBCOMPACT CARS,ACURA,2.3CL/3.0CL,3.0,6,Auto(L4),F,20,28,23,21.7329,35.8658,26.4173,R,,,,85,12,,,,,816,V6,CLKUP
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Auto(L4),F,24,31,27,26.7776,40.2978,31.5393,R,,,,,,83,12,77,13,694,DOHC,CLKUP
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Manual(M5),F,25,31,28,27.8144,40.1853,32.2872,R,,,,,,83,12,77,13,669,DOHC,
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Manual(M5),F,25,31,27,28.1393,39.1155,32.2061,P,,,,,,83,12,77,13,777,DOHC-VTEC,
SUBCOMPACT CARS,BENTLEY,BENTLEY AZURE,6.7,8,Auto(L4),R,11,16,13,12.3,20,14.8775,P,G,T,,82,7,,,,,1615,L410MT2,EMS 2MODE CLKUP
