Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr
SUBCOMPACT CARS,BENTLEY,BENTLEY CONTINENTAL SC,6.7,8,Auto(L4),R,11,16,13,12.3,20,14.8775,P,G,T,,85,11,,,,,1615,L410MT2,EMS 2MODE CLKUP
SUBCOMPACT CARS,BENTLEY,BENTLEY CONTINENTAL T,6.7,8,Auto(L4),R,11,16,13,12.3846,20.3127,15.0232,P,G,T,,85,12,,,,,1615,L410MT2,EMS 2MODE CLKUP
SUBCOMPACT CARS,BMW,"318I, 318IS",1.9,4,Auto(L4),R,22,31,25,24.3,39.7,29.4388,R,,,,82,9,86,10,,,750,,
SUBCOMPACT CARS,BMW,"318I, 318IS",1.9,4,Manual(M5),R,23,32,26,25.7315,41.0884,30.9343,R,,,,82,9,86,10,,,722,,
SUBCOMPACT CARS,BMW,323IS,2.5,6,Auto(L4),R,19,27,22,20.8956,34.6788,25.4468,R,,,,82,9,,,,,853,,
SUBCOMPACT CARS,BMW,323IS,2.5,6,Manual(M5),R,20,30,24,22.4856,38.3202,27.6218,R,,,,82,9,,,,,782,,
SUBCOMPACT CARS,BMW,"328I, 328IS",2.8,6,Auto(L4),R,18,26,21,20.4924,33.4147,24.81,R,,,,82,9,86,10,,,892,,
SUBCOMPACT CARS,BMW,"328I, 328IS",2.8,6,Manual(M5),R,20,28,23,21.821,36.5059,26.644,R,,,,82,9,86,10,,,816,,
SUBCOMPACT CARS,BMW,M3,3.2,6,Auto(L5),R,19,28,22,20.9,36.1,25.7857,R,,,,82,9,86,10,,,853,,
SUBCOMPACT CARS,BMW,M3,3.2,6,Manual(M5),R,20,28,23,22.2,36,26.8278,R,,,,82,9,86,10,,,816,,
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Auto(L4),R,19,29,22,21.0253,36.917,26.0767,R,,,,,,,,82,13,853,,CLKUP
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Manual(M5),R,19,30,23,21.3884,38.8496,26.8111,R,,,,,,,,82,13,816,,
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Auto(L4),R,17,25,20,18.7041,31.6751,22.9294,P,,,,,,,,82,13,1050,,CLKUP
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Manual(M6),R,18,27,21,19.7868,34.7615,24.5449,P,,,,,,,,82,13,1000,,
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.2,4,Auto(A3),F,23,29,26,25.8,37.5,30.014,R,,,,85,12,92,14,,,722,,
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.2,4,Auto(L4),F,23,31,26,25.7028,39.7888,30.5734,R,,,,85,12,92,14,,,722,,CLKUP
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.2,4,Manual(M5),F,24,34,28,26.6,43.6,32.2604,R,,,,85,12,92,14,,,669,,SIL
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.4,4,Auto(L4),F,22,32,26,24.6254,41.5008,30.1406,R,,,,85,12,92,14,,,722,,CLKUP
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.4,4,Manual(M5),F,23,33,26,25.1,42.5,30.7687,R,,,,85,12,92,14,,,722,,SIL
SUBCOMPACT CARS,CHEVROLET,METRO,1.0,3,Manual(M5),F,44,49,46,48.9244,63.1646,54.4482,R,,,,,,82,10,81,8,407,,SIL
SUBCOMPACT CARS,CHEVROLET,METRO,1.3,4,Auto(A3),F,30,34,32,33.4745,44.0837,37.54,R,,,,,,82,10,81,8,585,,
SUBCOMPACT CARS,CHEVROLET,METRO,1.3,4,Manual(M5),F,39,43,41,43.2225,54.9276,47.8069,R,,,,,,82,10,81,8,458,,SIL
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Auto(L4),F,21,30,24,23.0639,38.9952,28.2593,R,,,,,,,,79,15,782,DOHC,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Auto(L4),F,20,27,23,22.5,34.2,26.5941,P,,T,,,,,,79,15,914,DOHC-T/C,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Auto(L4),4,19,25,21,21.3,31.8,25.0172,P,,T,,,,,,79,15,1000,DOHC-T/C,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Auto(L4),F,21,30,24,23.0864,39.0532,28.2916,R,,,,,,,,79,15,782,DOHC,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Auto(L4),F,20,27,23,22.5,34.2,26.5941,P,,T,,,,,,79,15,914,DOHC-T/C,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Auto(L4),4,19,25,21,21.3,31.8,25.0172,P,,T,,,,,,79,15,1000,DOHC-T/C,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Manual(M5),F,23,33,26,25.2823,42.7594,30.9805,R,,,,,,,,79,15,694,DOHC,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Manual(M5),F,23,31,26,25.7,40.2,30.6797,P,,T,,,,,,79,15,808,DOHC-T/C,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Manual(M5),4,21,28,24,23.7,35.6,27.8962,P,,T,,,,,,79,15,876,DOHC-T/C,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Manual(M5),F,23,33,26,25.0045,42.1509,30.6073,R,,,,,,,,79,15,722,DOHC,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Manual(M5),F,23,31,26,25.7,40.2,30.6797,P,,T,,,,,,79,15,808,DOHC-T/C,
SUBCOMPACT CARS,EAGLE,EAGLE TALON,2.0,4,Manual(M5),4,21,28,24,23.7,35.6,27.8962,P,,T,,,,,,79,15,876,DOHC-T/C,
SUBCOMPACT CARS,FERRARI,FERRARI 456 GT/GTA,5.5,12,Auto(L4),R,10,15,11,10.6991,19.1,13.3393,P,G,,,87,7,,,,,1909,,CLKUP
SUBCOMPACT CARS,FERRARI,FERRARI 456 GT/GTA,5.5,12,Manual(M6),R,10,16,12,10.9,20.6,13.8306,P,G,,,87,7,,,,,1749,,
SUBCOMPACT CARS,FORD,ESCORT ZX2,2.0,4,Auto(L4),F,25,33,28,27.9229,42.5144,33.0232,R,,,,81,12,,,,,669,4V,CLKUP
SUBCOMPACT CARS,FORD,ESCORT ZX2,2.0,4,Manual(M5),F,26,33,29,28.5139,42.3518,33.429,R,,,,81,12,,,,,647,4V,
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Auto(L4),R,19,28,22,21.1338,35.9473,25.9451,R,,,,83,11,,,,,853,,CLKUP
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Manual(M5),R,20,29,24,22.5829,37.4137,27.4858,R,,,,83,11,,,,,782,,
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Auto(L4),R,17,24,20,18.9355,30.8113,22.909,R,,,,83,11,,,,,938,,CLKUP
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,17,26,20,19.317,33.2959,23.8166,P,,,,83,11,,,,,1050,4V,
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,17,25,20,18.7317,32.4813,23.1395,R,,,,83,11,,,,,938,,
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Auto(L4),F,29,36,32,31.9365,45.9531,37.0174,R,,,,85,12,90,9,86,13,585,SOHC,CLKUP
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Auto(L4),F,28,34,30,30.8,43.8,35.5478,C,,,,85,12,90,9,86,13,400,CNG,CLKUP
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Auto(L4),F,28,35,30,30.6,44.6,35.6334,R,,,,85,12,90,9,86,13,624,SOHC-VTEC,CLKUP
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Manual(M5),F,32,37,34,35.5383,47.7721,40.1671,R,,,,85,12,90,9,86,13,551,SOHC,
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Manual(M5),F,30,35,32,32.8,45,37.3576,R,,,,85,12,90,9,86,13,585,SOHC-VTEC,
SUBCOMPACT CARS,HONDA,CIVIC HX,1.6,4,Auto(AV),F,34,39,36,38.0242,49.4123,42.4241,R,,,,85,12,,,,,521,VTEC-E,
SUBCOMPACT CARS,HONDA,CIVIC HX,1.6,4,Manual(M5),F,36,44,39,39.6472,55.8537,45.6015,R,,,,85,12,,,,,480,VTEC-E,
SUBCOMPACT CARS,HONDA,PRELUDE,2.2,4,Auto(L4),F,21,27,24,23.7794,34.8465,27.7446,P,,,,78,9,,,,,876,DOHC-VTEC,2MODE CLKUP
SUBCOMPACT CARS,HONDA,PRELUDE,2.2,4,Manual(M5),F,23,27,24,25.0392,34.1086,28.4425,P,,,,78,9,,,,,876,DOHC-VTEC,
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.0,4,Auto(L4),F,22,29,25,24.8,37.6483,29.2996,R,,,,80,13,,,,,750,,2MODE CLKUP
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.0,4,Manual(M5),F,22,31,25,24.6751,39.4556,29.6781,R,,,,80,13,,,,,750,,
SUBCOMPACT CARS,JAGUAR,JAGUAR XK8,4.0,8,Auto(L5),R,17,25,20,19.3979,31.6987,23.5019,P,,,,75,11,,,,,1050,,EMS 2MODE
SUBCOMPACT CARS,LEXUS,SC 300/SC 400,3.0,6,Auto(L4),R,19,24,21,20.8228,30.3997,24.2623,P,,,,85,9,,,,,1000,,2MODE CLKUP
SUBCOMPACT CARS,LEXUS,SC 300/SC 400,4.0,8,Auto(L5),R,19,25,21,20.6326,31.896,24.5307,P,,,,85,9,,,,,1000,,2MODE 2LKUP
SUBCOMPACT CARS,MERCEDES-BENZ,CLK320,3.2,6,Auto(L5),R,21,29,24,23.3,37.5,28.0858,P,,,,81,11,,,,,876,,EMS 2MODE CLKUP
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI 3000GT,3.0,6,Auto(L4),F,18,23,20,20.4,29.6499,23.7316,R,,,,,,,,82,11,938,SOHC,2MODE
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI 3000GT,3.0,6,Auto(L4),F,18,24,20,19.9,30.8,23.6694,R,,,,,,,,82,11,938,DOHC,2MODE
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI 3000GT,3.0,6,Manual(M5),F,19,24,21,20.9,31.1,24.5187,R,,,,,,,,82,11,892,SOHC,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI 3000GT,3.0,6,Manual(M5),F,19,25,21,21.2,31.7,24.9134,R,,,,,,,,82,11,892,DOHC,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI 3000GT,3.0,6,Manual(M6),4,18,24,20,19.6,31.2,23.5381,P,,T,,,,,,82,11,1050,DOHC-T/C,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI 3000GT SPYDER,3.0,6,Auto(L4),F,18,23,20,19.7468,30.0433,23.3476,R,,,,,,,,84,4,938,DOHC,2MODE
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI 3000GT SPYDER,3.0,6,Manual(M6),4,17,25,20,18.9,31.4499,23.0367,P,,T,,,,,,84,4,1050,DOHC-T/C,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.0,4,Auto(L4),F,21,30,24,23.0246,38.9003,28.2044,R,,,,,,,,79,15,782,DOHC,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.0,4,Auto(L4),4,19,25,21,21.3,31.8,25.0172,P,,T,,,,,,79,15,1000,DOHC-T/C,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.0,4,Auto(L4),F,20,27,23,22.5,34.2,26.5941,P,,T,,,,,,79,15,914,DOHC-T/C,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.0,4,Manual(M5),F,23,33,26,25.0045,42.1509,30.6073,R,,,,,,,,79,15,722,DOHC,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.0,4,Manual(M5),F,23,31,26,25.7,40.2,30.6797,P,,T,,,,,,79,15,808,DOHC-T/C,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.0,4,Manual(M5),4,21,28,24,23.7,35.6,27.8962,P,,T,,,,,,79,15,876,DOHC-T/C,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.5,4,Auto(L4),F,28,36,31,31.638,45.6975,36.7222,R,,,,86,11,91,11,,,606,SOHC,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.5,4,Manual(M5),F,33,40,36,36.7923,51.4087,42.1902,R,,,,86,11,91,11,,,521,SOHC,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.8,4,Auto(L4),F,26,33,29,28.8911,42.1686,33.6604,R,,,,86,11,91,11,,,647,SOHC,
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.8,4,Manual(M5),F,29,36,32,31.6779,46.7048,37.0408,R,,,,86,11,91,11,,,585,SOHC,
SUBCOMPACT CARS,NISSAN,SENTRA/200SX,1.6,4,Auto(L4),F,27,36,30,29.7,46.1387,35.371,R,,,,84,10,87,11,,,624,,CLKUP
SUBCOMPACT CARS,NISSAN,SENTRA/200SX,1.6,4,Manual(M5),F,29,39,33,32.5205,49.4613,38.4461,R,,,,84,10,87,11,,,568,,
SUBCOMPACT CARS,NISSAN,SENTRA/200SX,2.0,4,Auto(L4),F,23,30,26,25.5499,37.9,29.9403,R,,,,84,10,87,11,,,722,,CLKUP
SUBCOMPACT CARS,NISSAN,SENTRA/200SX,2.0,4,Manual(M5),F,23,31,26,25.2532,39.1535,30.0547,R,,,,84,10,87,11,,,722,,
SUBCOMPACT CARS,PONTIAC,FIREBIRD/FORMULA,3.8,6,Auto(L4),R,19,29,22,21.0196,36.9132,26.071,R,,,,,,,,84,13,853,,CLKUP
SUBCOMPACT CARS,PONTIAC,FIREBIRD/FORMULA,3.8,6,Manual(M5),R,19,30,23,21.3803,38.8143,26.7965,R,,,,,,,,84,13,816,,
SUBCOMPACT CARS,PONTIAC,FIREBIRD/FORMULA,5.7,8,Auto(L4),R,18,24,20,19.4585,30.9828,23.3702,P,,,,,,,,84,13,1050,,CLKUP
SUBCOMPACT CARS,PONTIAC,FIREBIRD/FORMULA,5.7,8,Manual(M6),R,17,26,21,19.2652,33.8297,23.8944,P,,,,,,,,84,13,1000,,
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Auto(A3),F,23,29,26,25.8,37.5,30.014,R,,,,85,11,92,13,,,722,,
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Auto(L4),F,23,31,26,25.7028,39.7888,30.5734,R,,,,85,11,92,13,,,722,,CLKUP
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Manual(M5),F,24,34,28,26.6,43.6,32.2604,R,,,,85,11,92,13,,,669,,SIL
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.4,4,Auto(L4),F,22,32,26,24.5052,41.5,30.0412,R,,,,85,11,92,13,,,722,,CLKUP
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.4,4,Manual(M5),F,23,33,26,25.1,42.5,30.7687,R,,,,85,11,92,13,,,722,,SIL
SUBCOMPACT CARS,SAAB,SAAB 900 CONVERTIBLE,2.0,4,Auto(L4),F,19,24,21,20.8,31.3,24.4982,R,,T,,80,13,,,,,892,B204L3,2MODE
SUBCOMPACT CARS,SAAB,SAAB 900 CONVERTIBLE,2.0,4,Manual(M5),F,22,28,24,24.6,35.7,28.6019,R,,,,80,13,,,,,782,B234I3,SIL
SUBCOMPACT CARS,SAAB,SAAB 900 CONVERTIBLE,2.0,4,Manual(M5),F,20,27,23,22.4,35.1,26.7565,R,,T,,80,13,,,,,816,B2O4L3,SIL
SUBCOMPACT CARS,SAAB,SAAB 900 CONVERTIBLE,2.3,4,Auto(L4),F,20,26,22,22.4,33.6,26.3529,R,,,,80,13,,,,,853,B234I3,2MODE
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,24,34,28,27.1548,43.2237,32.6102,R,,,,84,11,,,,,669,,CLKUP
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,27,37,31,29.9659,47.4712,35.9277,R,,,,84,11,,,,,606,,CLKUP
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,26,36,30,28.6986,46.0497,34.5582,R,,,,84,11,,,,,624,,SIL
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,28,39,32,31.1987,50.3379,37.6385,R,,,,84,11,,,,,585,,SIL
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.2,4,Auto(L4),4,23,30,26,25.823,37.8344,30.127,R,,,,84,11,84,11,,,722,,
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.2,4,Manual(M5),4,23,30,25,25.0748,37.8826,29.5743,R,,,,84,11,84,11,,,750,,
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.5,4,Auto(L4),4,22,28,24,23.9,35.285,27.9597,R,,,,84,11,84,11,,,782,,
