Class,Manufacturer,carline name,displ,cyl,trans,drv,bidx,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,ACURA,NSX,3,6,Auto(S4),R,55,17,24,20,19.1342,30.2,22.9121,P,,,,,,,,,,1238, ,2MODE CLKUP ,4,1
TWO SEATERS,ACURA,NSX,3.2,6,Manual(M6),R,75,17,24,19,18.7,30.4,22.6171,P,,,,,,,,,,1302, ,,4,1
TWO SEATERS,ALPINA,BMW/ALPINA ROADSTER V8,4.8,8,Auto(L5),R,48,14,21,17,15.8809,26.8477,19.4575,P,G,,,,,,,,,1455,GUZZLER,2MODE CLKUP ,4,1
TWO SEATERS,AUDI,TT ROADSTER,1.8,4,Auto(S6),F,18,20,28,23,22,36.2,26.7159,P,,T,,,,,,,,1077, ,3MODE CLKUP ,5,1
TWO SEATERS,AUDI,TT ROADSTER QUATTRO,1.8,4,Manual(M6),4,18,20,29,23,22.2125,36.5387,26.9712,P,,T,,,,,,,,1077, ,,5,1
TWO SEATERS,BMW,Z4 ROADSTER,2.5,6,Auto(L5),R,25,21,28,23,22.9,35.9,27.3581,P,,,,,,,,,,1077, ,3MODE CLKUP ,4,1
TWO SEATERS,BMW,Z4 ROADSTER,2.5,6,Manual(M5),R,25,20,28,23,22.4,35.7,26.9117,P,,,,,,,,,,1077, ,,4,1
TWO SEATERS,BMW,Z4 ROADSTER,3,6,Auto(L5),R,30,20,28,23,22.4401,35.7002,26.9436,P,,,,,,,,,,1077, ,3MODE CLKUP ,4,1
TWO SEATERS,BMW,Z4 ROADSTER,3,6,Manual(M6),R,30,21,29,24,22.9,37.5,27.7643,P,,,,,,,,,,1032, ,,4,1
TWO SEATERS,BMW,Z8,4.9,8,Manual(M6),R,49,13,21,16,14.9485,26.5,18.5963,P,G,,,,,,,,,1547,GUZZLER,,4,1
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Auto(L4),R,105,18,25,21,19.7,32.5,23.9435,P,,,,,,,,,,1178, ,CLKUP ,2,1
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Manual(M6),R,106,19,28,22,21.3,35.9,26.0713,P,,,,,,,,,,1126, ,,2,1
TWO SEATERS,DODGE,VIPER CONVERTIBLE,8.3,10,Manual(M6),R,70,12,21,15,13.5,27.2,17.4566,P,G,,,,,,,,,1651,GUZZLER,,2,1
TWO SEATERS,FERRARI,ENZO FERRARI,6,12,Auto(S6),R,4,8,12,9,8.4473,15.8,10.6848,P,G,,,,,,,,,2750,GUZZLER,,4,1
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Manual(M6),R,1,11,16,13,11.9,20.2,14.5995,P,G,,,,,,,,,1903,GUZZLER,,5,1
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Auto(S6),R,1,10,16,12,11.6498,20.4981,14.4583,P,G,,,,,,,,,2062,GUZZLER,3MODE ,5,1
TWO SEATERS,FERRARI,FERRARI 575 M MARANELLO,5.7,12,Manual(M6),R,3,10,16,12,10.6,20.3,13.5036,P,G,,,,,,,,,2062,GUZZLER,,4,1
TWO SEATERS,FERRARI,FERRARI 575 M MARANELLO,5.7,12,Auto(S6),R,3,10,17,12,11.2498,21.4,14.3025,P,G,,,,,,,,,2062,GUZZLER,3MODE ,4,1
TWO SEATERS,FORD,THUNDERBIRD,3.9,8,Auto(L5),R,410,18,24,20,19.5,30.5,23.2779,P,,,,52,8,,,,,1238, ,CLKUP ,4,1
