Class,Manufacturer,carline name,displ,cyl,trans,drv,bidx,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,FORD,THUNDERBIRD,3.9,8,Auto(L5),R,411,18,25,20,19.9469,31.7691,23.959,P,,,,52,8,,,,,1238,SPORT,CLKUP ,4,1
TWO SEATERS,HONDA,INSIGHT,1,3,Auto(AV),F,1,57,56,56,62.8,71.4,66.3989,R,,,,,,,,,,416,VTEC,,4,1
TWO SEATERS,HONDA,INSIGHT,1,3,Manual(M5),F,1,61,68,64,67.3785,87.2197,75.0626,R,,,,,,,,,,363,VTEC,SIL ,4,1
TWO SEATERS,HONDA,S2000,2,4,Manual(M6),R,86,20,26,23,22.6,33.8,26.5605,P,,,,,,,,,,1077,VTEC,,4,1
TWO SEATERS,LAMBORGHINI,L-147 MURCIELAGO,6,12,Manual(M6),4,2,9,13,10,10.1208,16.2936,12.2008,P,G,,,,,,,,,2475,GUZZLER,,4,1
TWO SEATERS,LAMBORGHINI,L-147 MURCIELAGO,6.2,12,Manual(M6),4,1,9,13,10,10.1208,16.2936,12.2008,P,G,,,,,,,,,2475,GUZZLER,,4,1
TWO SEATERS,LOTUS,LOTUS ESPRIT V8,3.5,8,Manual(M5),R,1,15,22,18,16.6889,28.8363,20.592,P,G,T,,,,,,,,1376,GUZZLER,,4,1
TWO SEATERS,MASERATI,SPIDER CAMBIOCORSA/SPIDER GT,4.2,8,Manual(M6),R,1,12,17,13,12.8,21.3,15.6017,P,G,,,,,,,,,1903,GUZZLER,,4,1
TWO SEATERS,MASERATI,SPIDER CAMBIOCORSA/SPIDER GT,4.2,8,Auto(S6),R,1,11,17,13,12.7263,21.5958,15.6116,P,G,,,,,,,,,1903,GUZZLER,3MODE ,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Auto(L4),R,3,22,28,24,24.5996,35.5,28.5436,P,,,,,,,,,,1032, ,CLKUP ,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M5),R,3,23,28,25,25.8,36.4,29.6908,P,,,,,,,,,,990, ,,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M6),R,3,23,28,25,25.2,35.8,29.0738,P,,,,,,,,,,990, ,,4,1
TWO SEATERS,MERCEDES-BENZ,SL500,5,8,Auto(L5),R,475,15,22,18,17.0496,27.8695,20.6588,P,G,,,50,9,,,,,1376,GUZZLER,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SL55 AMG,5.5,8,Auto(L5),R,474,14,20,16,15.0974,25.2964,18.4436,P,G,,,51,7,,,,,1547,GUZZLER,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Auto(L5),R,449,22,28,24,24.2691,35.6547,28.3418,P,,,,48,10,,,,,1032, ,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Manual(M6),R,449,19,28,22,21.4149,35.4663,26.0612,P,,,,48,10,,,,,1126, ,EMS ,3,1
TWO SEATERS,MERCEDES-BENZ,SLK32 AMG,3.2,6,Auto(L5),R,464,17,22,19,19.2,28.5,22.5046,P,,,,48,10,,,,,1302, ,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Auto(L5),R,465,20,26,22,22.3499,33.3481,26.2449,P,,,,48,10,,,,,1126, ,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Manual(M6),R,465,17,26,20,19.1195,32.7753,23.5315,P,,,,48,10,,,,,1238, ,EMS ,3,1
TWO SEATERS,MORGAN,PLUS EIGHT,4,8,Manual(M5),R,1,18,30,22,18.0409,30.16,22.0232,P,G,,,,,,,,,1126,GUZZLER,VMODE ,2,1
TWO SEATERS,NISSAN,350Z,3.5,6,Manual(M6),R,24,20,26,22,22,33.6,26.0465,P,,,,,,,,,,1126, ,,4,1
TWO SEATERS,NISSAN,350Z,3.5,6,Auto(S5),R,24,19,26,21,20.7,32.9,24.846,P,,,,,,,,,,1178, ,CLKUP ,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M5),R,200,20,29,23,22.3,37.3494,27.2031,P,,,,,,,,,,1077, ,,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Auto(S5),R,200,18,26,21,19.6707,33.3481,24.1229,P,,,,,,,,,,1178, ,2MODE ,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Manual(M6),R,300,18,26,21,20.4,33.8,24.8297,P,,,,,,,,,,1178, ,,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Auto(S5),R,300,17,26,20,19.1479,33.6973,23.7654,P,,,,,,,,,,1238, ,2MODE ,4,1
TWO SEATERS,PORSCHE,TURBO GT2,3.6,6,Manual(M6),R,500,15,22,18,16.9,27.9,25.5451,P,G,T,,,,,,,,1376,GUZZLER,,4,1
TWO SEATERS,TOYOTA,MR2,1.8,4,Manual(M5),R,29,26,32,29,29.1,41.3,33.5613,R,,,,46,2,,,,,802, ,,4,1
TWO SEATERS,TOYOTA,MR2,1.8,4,Manual(M6),R,29,25,33,28,28.1,42.2,33.0727,R,,,,46,2,,,,,830, ,,4,1
MINICOMPACT CARS,ASTON MARTIN,ASTON MARTIN VANQUISH,5.9,12,Auto(S6),R,1,12,19,15,13.55,24.7,17.015,P,G,,,78,6,,,,,1651,GUZZLER,CLKUP ,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 GT COUPE,5.9,12,Manual(M6),R,712,10,16,12,11.4798,20.9931,14.4207,P,G,,,72,6,,,,,2062,GUZZLER,CLKUP ,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 GT VOLANTE,5.9,12,Manual(M6),R,711,10,17,12,11.3842,21.7169,14.4857,P,G,,,72,6,,,,,2062,GUZZLER,CLKUP ,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE COUPE,5.9,12,Auto(L5),R,704,12,19,14,12.9453,24.5968,16.4525,P,G,,,72,6,,,,,1767,GUZZLER,CLKUP ,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE COUPE,5.9,12,Manual(M6),R,702,11,18,13,12.2802,23.4153,15.6238,P,G,,,72,6,,,,,1903,GUZZLER,CLKUP ,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE VOLANTE,5.9,12,Auto(L5),R,703,11,18,14,12.5042,24.0408,15.9482,P,G,,,72,6,,,,,1767,GUZZLER,CLKUP ,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE VOLANTE,5.9,12,Manual(M6),R,701,11,18,13,12.0754,22.7951,15.3167,P,G,,,72,6,,,,,1903,GUZZLER,CLKUP ,4,2
MINICOMPACT CARS,AUDI,TT COUPE,1.8,4,Auto(S6),F,18,21,29,24,23,37.5,27.845,P,,T,,,,,,65,14,1032, ,3MODE CLKUP ,5,2
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M6),4,18,20,29,23,22.2125,36.5387,26.9712,P,,T,,,,,,65,11,1077, ,,5,2
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Auto(L5),R,25,19,26,22,21.5,33.3,25.5789,P,,,,74,9,,,,,1126, ,3MODE CLKUP ,4,2
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Manual(M5),R,25,19,26,21,20.7616,33.7727,25.1158,P,,,,74,9,,,,,1178, ,,4,2
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3,6,Auto(L5),R,30,19,27,22,20.8,34.5,25.3256,P,,,,74,9,,,,,1126, ,3MODE CLKUP ,4,2
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3,6,Manual(M5),R,30,20,28,23,21.9,35.8,26.5365,P,,,,74,9,,,,,1077, ,,4,2
MINICOMPACT CARS,BMW,M3 CONVERTIBLE,3.2,6,Manual(M6),R,32,16,23,18,17.5,29.5431,21.4314,P,G,,,74,9,,,,,1376,GUZZLER,,4,2
MINICOMPACT CARS,BMW,M3 CONVERTIBLE,3.2,6,Auto(S6),R,32,16,22,18,17.7191,28.1243,21.2583,P,G,,,74,9,,,,,1376,GUZZLER,2MODE ,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XK8 CONVERTIBLE,4.2,8,Auto(L6),R,309,18,26,21,19.598,33.0439,23.991,P,,,,70,10,,,,,1178, ,2MODE CLKUP ,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XKR CONVERTIBLE,4.2,8,Auto(L6),R,310,16,23,18,17.5722,29.1733,21.4018,P,G,,S,70,10,,,,,1376,GUZZLER,2MODE CLKUP ,4,2
MINICOMPACT CARS,LEXUS,SC 300/SC 430,4.3,8,Auto(L5),R,16,18,23,20,19.4718,29.9479,23.1096,P,,,,75,9,,,,,1238, ,2MODE CLKUP ,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Manual(M5),F,31,23,31,26,25.5229,39.2073,30.2785,R,,,,75,7,,,,,895,SOHC,,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Manual(M5),F,20,23,30,26,25.6,38.9,30.2594,R,,,,75,7,,,,,895,SOHC,,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Auto(S4),F,31,20,26,23,22.6224,33.8775,26.599,R,,,,75,7,,,,,1011,SOHC,2MODE CLKUP ,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Auto(S4),F,20,20,26,23,22.4472,33.7499,26.4303,R,,,,75,7,,,,,1011,SOHC,2MODE CLKUP ,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3,6,Manual(M5),F,21,21,29,24,22.8963,36.6055,27.5371,P,,,,75,7,,,,,1032,SOHC,,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3,6,Auto(S4),F,21,20,27,23,22.2915,34.9278,26.6264,P,,,,75,7,,,,,1077,SOHC,2MODE CLKUP ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 CABRIOLET,3.6,6,Auto(L5),R,400,18,26,21,20.135,32.9952,24.4177,P,,,,68,5,,,,,1178, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 CABRIOLET,3.6,6,Manual(M6),R,400,18,26,21,19.9,33.8,24.419,P,,,,68,5,,,,,1178, ,,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 CABRIOLET KIT,3.6,6,Auto(L5),R,400,18,26,21,20.135,32.9952,24.4177,P,,,,68,5,,,,,1178, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 CABRIOLET KIT,3.6,6,Manual(M6),R,400,18,26,21,19.9,33.8,24.419,P,,,,68,5,,,,,1178, ,,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 COUPE,3.6,6,Auto(L5),R,400,18,26,21,20.1683,32.7973,24.3955,P,,,,70,5,,,,,1178, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 COUPE,3.6,6,Manual(M6),R,400,18,26,21,19.6,33.4,24.0765,P,,,,70,5,,,,,1178, ,,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 COUPE KIT,3.6,6,Auto(L5),R,400,18,26,21,20.1683,32.7973,24.3955,P,,,,70,5,,,,,1178, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 2 COUPE KIT,3.6,6,Manual(M6),R,400,18,26,21,19.6,33.4,24.0765,P,,,,70,5,,,,,1178, ,,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET,3.6,6,Auto(L5),4,400,17,23,19,18.9277,29.9987,22.697,P,,,,68,5,,,,,1302, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET,3.6,6,Manual(M6),4,400,17,24,19,18.7,30.3,22.5921,P,,,,68,5,,,,,1302, ,,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET KIT,3.6,6,Auto(L5),4,400,17,23,19,18.9277,29.9987,22.697,P,,,,68,5,,,,,1302, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET KIT,3.6,6,Manual(M6),4,400,17,24,19,18.7,30.3,22.5921,P,,,,68,5,,,,,1302, ,,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 S,3.6,6,Auto(L5),4,400,17,23,19,18.8276,29.1492,22.3963,P,,,,70,5,,,,,1302, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 S,3.6,6,Manual(M6),4,400,17,24,19,18.9,30.3,22.7521,P,,,,70,5,,,,,1302, ,,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 S KIT,3.6,6,Auto(L5),4,400,17,23,19,18.8276,29.1492,22.3963,P,,,,70,5,,,,,1302, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,CARRERA 4 S KIT,3.6,6,Manual(M6),4,400,17,24,19,18.9,30.3,22.7521,P,,,,70,5,,,,,1302, ,,4,2
MINICOMPACT CARS,PORSCHE,TARGA,3.6,6,Auto(L5),R,400,18,26,21,20.135,32.9952,24.4177,P,,,,70,5,,,,,1178, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,TARGA,3.6,6,Manual(M6),R,400,18,26,21,19.9,33.8,24.419,P,,,,70,5,,,,,1178, ,,4,2
MINICOMPACT CARS,PORSCHE,TARGA KIT,3.6,6,Auto(L5),R,400,18,26,21,20.135,32.9952,24.4177,P,,,,70,5,,,,,1178, ,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,TARGA KIT,3.6,6,Manual(M6),R,400,18,26,21,19.9,33.8,24.419,P,,,,70,5,,,,,1178, ,,4,2
MINICOMPACT CARS,PORSCHE,TURBO,3.6,6,Auto(L5),4,500,15,22,17,16.3976,28.5492,20.2824,P,G,T,,70,5,,,,,1455,GUZZLER,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,TURBO,3.6,6,Manual(M6),4,500,15,22,18,16.9,27.9,25.5451,P,G,T,,70,5,,,,,1376,GUZZLER,,4,2
MINICOMPACT CARS,PORSCHE,TURBO KIT,3.6,6,Auto(L5),4,500,15,22,17,16.3976,28.5492,20.2824,P,G,T,,70,5,,,,,1455,GUZZLER,2MODE ,4,2
MINICOMPACT CARS,PORSCHE,TURBO KIT,3.6,6,Manual(M6),4,500,15,22,18,16.9,27.9,25.5451,P,G,T,,70,5,,,,,1376,GUZZLER,,4,2
MINICOMPACT CARS,VOLKSWAGEN,NEW BEETLE CONVERTIBLE,2,4,Manual(M5),F,2,24,30,26,26.3368,39.0489,30.8572,R,,,,78,5,,,,,895, ,,2,2
MINICOMPACT CARS,VOLKSWAGEN,NEW BEETLE CONVERTIBLE,2,4,Auto(S6),F,2,22,29,24,24.1,37,28.5847,R,,,,78,5,,,,,970, ,2MODE CLKUP ,2,2
SUBCOMPACT CARS,ACURA,RSX,2,4,Manual(M5),F,80,27,33,30,30.2,42.8,34.8117,R,,,,,,,,81,16,774,VTC/VTEC,,4,3
SUBCOMPACT CARS,ACURA,RSX,2,4,Manual(M6),F,80,24,31,27,27,39.9,31.597,P,,,,,,,,81,16,916,VTC/VTEC,,4,3
SUBCOMPACT CARS,ACURA,RSX,2,4,Auto(S5),F,80,24,33,28,27.1632,42.2809,32.3718,R,,,,,,,,81,16,830,VTC/VTEC,2MODE CLKUP ,4,3
SUBCOMPACT CARS,AUDI,A4 CABRIOLET,1.8,4,Auto(AV),F,13,23,30,26,25.5,38.6,30.0963,P,,T,,,,79,10,,,953, ,2MODE ,5,3
SUBCOMPACT CARS,AUDI,A4 CABRIOLET,3,6,Auto(AV),F,12,20,27,23,22.758,34.2738,26.8119,P,,,,,,79,10,,,1077, ,2MODE ,5,3
SUBCOMPACT CARS,BENTLEY,BENTLEY AZURE,6.8,8,Auto(L4),R,2,11,16,13,12.6,20.4,15.2185,P,G,T,,,,82,7,,,1903,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BENTLEY,BENTLEY CONTINENTAL T,6.8,8,Auto(L4),R,2,11,16,13,12.3,20,14.8775,P,G,T,,,,88,12,,,1903,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BMW,325CI,2.5,6,Auto(L5),R,25,20,28,23,22.5698,36.0136,27.1266,P,,,,84,9,,,,,1077, ,3MODE CLKUP ,4,3
SUBCOMPACT CARS,BMW,325CI,2.5,6,Manual(M5),R,25,20,29,24,22.5761,37.5427,27.5115,P,,,,84,9,,,,,1032, ,,4,3
SUBCOMPACT CARS,BMW,330CI,3,6,Auto(L5),R,30,20,28,23,22.4401,35.7002,26.9436,P,,,,84,9,,,,,1077, ,3MODE CLKUP ,4,3
SUBCOMPACT CARS,BMW,330CI,3,6,Manual(M5),R,30,21,30,24,23.1,38.1,28.0737,P,,,,84,9,,,,,1032, ,,4,3
SUBCOMPACT CARS,BMW,M3,3.2,6,Manual(M6),R,32,16,24,19,18,30.9,22.1638,P,G,,,84,9,,,,,1302,GUZZLER,,4,3
SUBCOMPACT CARS,BMW,M3,3.2,6,Auto(S6),R,32,16,23,19,18.3217,29.6138,22.1167,P,G,,,84,9,,,,,1302,GUZZLER,2MODE ,4,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Auto(L4),R,2,10,15,11,10.6991,19.1,13.3393,P,G,,,87,7,,,,,2250,GUZZLER,CLKUP ,4,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Manual(M6),R,2,10,16,12,10.9,20.6,13.8306,P,G,,,87,7,,,,,2062,GUZZLER,,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2,4,Auto(L4),F,150,26,31,28,29,39.7,33.0027,R,,,,80,16,,,,,830,4-VALVE,CLKUP ,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2,4,Manual(M5),F,152,26,33,29,28.7,42,33.4694,R,,,,80,16,,,,,802, ,,4,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Auto(L4),R,100,19,27,22,21.2828,34.7716,25.7838,R,,,,82,11,,,,,1058, ,CLKUP ,2,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Manual(M5),R,102,20,29,23,21.8,37.5,26.8605,R,,,,82,11,,,,,1011, ,,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Auto(L4),R,104,18,24,20,19.9162,31.2884,23.8106,R,,,,82,11,,,,,1162, ,CLKUP ,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Auto(L4),R,110,17,23,20,19.4,29.4,22.906,R,,,,82,11,,,,,1162, ,CLKUP ,4,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,106,18,26,21,19.7,32.7,23.9922,R,,,,82,11,,,,,1107, ,,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,109,17,25,20,18.9,31.9,23.1443,R,,,,82,11,,,,,1162, ,,4,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M6),R,108,16,22,19,18.2,28.6,21.7609,P,G,,,82,11,,,,,1302,GUZZLER,,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Auto(L4),F,1,23,30,26,25.726,38.3265,30.1929,R,,,,81,15,,,,,895, ,CLKUP ,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Manual(M5),F,1,23,31,26,25.5136,39.6641,30.3929,R,,,,81,15,,,,,895, ,,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Manual(M6),F,1,22,29,24,24.1199,37.1596,28.6429,R,,,,81,15,,,,,970, ,,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Auto(L4),F,2,20,26,22,21.7,33.4,25.7608,R,,,,81,15,,,,,1058, ,CLKUP ,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Manual(M5),F,2,19,26,22,21.4,33.7,25.6055,R,,,,81,15,,,,,1058, ,,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Manual(M6),F,2,18,26,21,20.3,33.9,24.7721,R,,,,81,15,,,,,1107, ,,4,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XK8,4.2,8,Auto(L6),R,309,18,26,21,19.598,33.0439,23.991,P,,,,75,11,,,,,1178, ,2MODE CLKUP ,4,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XKR,4.2,8,Auto(L6),R,310,16,23,18,17.5722,29.1723,21.4018,P,G,,S,75,11,,,,,1376,GUZZLER,2MODE CLKUP ,4,3
SUBCOMPACT CARS,MASERATI,COUPE CAMBIOCORSA/COUPE GT,4.2,8,Manual(M6),R,1,12,17,13,12.8,21.3,15.6017,P,G,,,86,5,,,,,1903,GUZZLER,,4,3
SUBCOMPACT CARS,MASERATI,COUPE CAMBIOCORSA/COUPE GT,4.2,8,Auto(S6),R,1,11,17,13,12.7263,21.5958,15.6116,P,G,,,86,5,,,,,1903,GUZZLER,3MODE ,4,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK320,3.2,6,Auto(L5),R,366,19,27,22,21.4,34.1,25.7086,P,,,,82,10,,,,,1126, ,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK320 (CABRIOLET),3.2,6,Auto(L5),R,466,20,27,22,21.8641,34.2519,26.1142,P,,,,76,9,,,,,1126, ,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK430 (CABRIOLET),4.3,8,Auto(L5),R,470,18,24,20,19.5995,30.5997,23.382,P,,,,76,9,,,,,1238, ,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK500,5,8,Auto(L5),R,371,16,23,19,18,29.4,21.8047,P,G,,,82,10,,,,,1302,GUZZLER,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK55 AMG,5.4,8,Auto(L5),R,373,16,22,19,18.3,28.3,21.7601,P,G,,S,82,10,,,,,1302,GUZZLER,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(L4),F,30,21,28,23,23.2767,35.2637,27.4803,R,,,,,,,,79,17,1011,SOHC,CMODE CLKUP ,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(L4),F,22,21,28,24,23.6,34.4,28.0366,R,,,,,,,,79,17,970,SOHC,CMODE CLKUP ,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Manual(M5),F,30,23,31,26,25.7389,39.8413,30.6154,R,,,,,,,,79,17,895,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Manual(M5),F,22,23,31,26,26.0212,39.9785,30.8712,R,,,,,,,,79,17,895,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(S4),F,30,21,28,23,23.2784,35.2695,27.4832,R,,,,,,,,79,17,1011,SOHC,2MODE CLKUP ,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(S4),F,22,21,28,24,23.1391,36.4,27.7188,R,,,,,,,,79,17,970,SOHC,2MODE CLKUP ,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3,6,Manual(M5),F,23,21,28,24,22.9544,36.4,27.5307,P,,,,,,,,79,17,1032,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3,6,Auto(S4),F,23,20,27,23,22.374,34.8909,26.6813,P,,,,,,,,79,17,1077,SOHC,2MODE CLKUP ,4,3
