Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,ACURA,NSX,3,6,Auto(L4),R,17,24,20,19.2343,30.1499,22.9779,P,,,,,,,,,,1012,DOHC-VTEC,2MODE,4,1
TWO SEATERS,ACURA,NSX,3.2,6,Manual(M6),R,17,24,20,19,30.4,22.8571,P,,,,,,,,,,1012,DOHC-VTEC,,4,1
TWO SEATERS,BMW,M COUPE,3.2,6,Manual(M5),R,19,26,21,21.1,32.7,25.1081,P,,,,,,,,,,964,,,4,1
TWO SEATERS,BMW,Z3 COUPE,2.8,6,Auto(L4),R,19,26,22,20.9,33.6,25.1834,P,,,,,,,,,,921,,,4,1
TWO SEATERS,BMW,Z3 COUPE,2.8,6,Manual(M5),R,19,26,21,21.022,32.887,25.0964,P,,,,,,,,,,964,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Auto(L4),R,19,26,21,20.9,33.2,25.0815,P,,,,,,,,,,964,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.5,6,Manual(M5),R,20,27,22,21.9,34.4,26.1811,P,,,,,,,,,,921,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.8,6,Auto(L4),R,19,26,21,21,33,25.1087,P,,,,,,,,,,964,,,4,1
TWO SEATERS,BMW,Z3 ROADSTER,2.8,6,Manual(M5),R,19,26,21,21.022,32.887,25.0964,P,,,,,,,,,,964,,,4,1
TWO SEATERS,BMW,Z8,4.9,8,Manual(M6),R,13,21,16,14.9535,26.3337,18.5636,P,G,,,,,,,,,1266,GUZZLER,,4,1
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Auto(L4),R,17,25,20,18.4,32.2,22.7965,P,,,,,,,,,,1012,,CLKUP,2,1
TWO SEATERS,CHEVROLET,CORVETTE,5.7,8,Manual(M6),R,18,27,22,20.4,34.9,25.0911,P,,,,,,,,,,921,,,2,1
TWO SEATERS,DODGE,VIPER CONVERTIBLE,8,10,Manual(M6),R,12,21,15,13.3853,26.7962,17.2761,P,G,,,,,,,,,1351,GUZZLER,,2,1
TWO SEATERS,DODGE,VIPER COUPE,8,10,Manual(M6),R,12,21,15,13.3853,26.7962,17.2761,P,G,,,,,,,,,1351,GUZZLER,,2,1
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Manual(M6),R,11,16,13,11.9,20.2,14.5995,P,G,,,,,,,,,1557,GUZZLER,,5,1
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Auto(S6),R,10,16,12,11.6498,20.498,14.4583,P,G,,,,,,,,,1687,GUZZLER,3MODE,5,1
TWO SEATERS,FERRARI,FERRARI 550 MARANELLO,5.5,12,Manual(M6),R,8,13,10,9.3989,16.7,11.7009,P,G,,,,,,,,,2025,GUZZLER,,4,1
TWO SEATERS,HONDA,INSIGHT,1,3,Manual(M5),F,61,70,65,68.1881,89.2029,76.2742,R,,,,,,,,,,277,,SIL,4,1
TWO SEATERS,HONDA,S2000,2,4,Manual(M6),R,20,26,22,22.4996,32.6972,26.1729,P,,,,,,,,,,921,DOHC-VTEC,,4,1
TWO SEATERS,LOTUS,LOTUS ESPRIT.V8,3.5,8,Manual(M5),R,15,22,18,16.7,28.8,20.5934,P,G,T,,,,,,,,1126,GUZZLER,,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Auto(L4),R,23,28,25,25.1,35.5389,28.923,R,,,,,,,,,,720,,CLKUP,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M5),R,25,29,27,27.6,37.6,31.3523,R,,,,,,,,,,666,,,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M6),R,24,29,26,26.4,36.7,30.2161,R,,,,,,,,,,693,,,4,1
TWO SEATERS,MERCEDES-BENZ,SL500,5,8,Auto(L5),R,16,23,18,17.8498,29.1,21.6092,P,G,,,50,8,,,,,1126,GUZZLER,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SL600,6,12,Auto(L5),R,13,19,15,14.4,24.4,17.6563,P,G,,,50,8,,,,,1351,GUZZLER,EMS 2MODE CLKUP,4,1
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Auto(L5),R,22,30,25,24.6152,37.9108,29.2279,P,,,S,48,10,,,,,810,,EMS 2MODE CLKUP,4,1
